,Year,Hospital,Rank,Position.Title,Salary,Fringe.Benefits,Total
121,2009,JOHN DEMPSEY HOSPITAL,9,PROFESSOR / CLINICAL OPERATION,"$164,991","$62,713","$227,704"
122,2009,JOHN DEMPSEY HOSPITAL,10,CEO,"$113,700","$9,028","$122,728"
123,2009,JOHNSON MEMORIAL HOSPITAL,1,Med Director of Emergency Medicine,"$325,704","$91,197","$416,901"
124,2009,JOHNSON MEMORIAL HOSPITAL,2,Vice President Medical Affairs,"$316,762","$88,693","$405,455"
125,2009,JOHNSON MEMORIAL HOSPITAL,3,Emergency Room Physician,"$282,856","$79,200","$362,056"
126,2009,JOHNSON MEMORIAL HOSPITAL,4,Emergency Room Physician,"$264,068","$73,939","$338,007"
127,2009,JOHNSON MEMORIAL HOSPITAL,5,Emergency Room Physician,"$241,250","$67,550","$308,800"
128,2009,JOHNSON MEMORIAL HOSPITAL,6,Emergency Room Physician,"$238,857","$66,880","$305,737"
129,2009,JOHNSON MEMORIAL HOSPITAL,7,Chief of Pathology,"$232,072","$64,980","$297,052"
130,2009,JOHNSON MEMORIAL HOSPITAL,8,Pathologist,"$207,775","$58,177","$265,952"
131,2009,JOHNSON MEMORIAL HOSPITAL,9,Emergency Room Physician,"$166,558","$46,636","$213,194"
132,2009,JOHNSON MEMORIAL HOSPITAL,10,VP Human Resources,"$151,513","$42,424","$193,937"
133,2009,LAWRENCE AND MEMORIAL HOSPITAL,1,"President, CEO","$646,225","$36,283","$682,508"
134,2009,LAWRENCE AND MEMORIAL HOSPITAL,2,VP. COO,"$395,443","$31,007","$426,450"
135,2009,LAWRENCE AND MEMORIAL HOSPITAL,3,"Vice President, CFO","$351,312","$33,643","$384,955"
136,2009,LAWRENCE AND MEMORIAL HOSPITAL,4,Medical Director Physician,"$323,475","$28,462","$351,937"
137,2009,LAWRENCE AND MEMORIAL HOSPITAL,5,ER Physician,"$262,072","$30,826","$292,898"
138,2009,LAWRENCE AND MEMORIAL HOSPITAL,6,ER Physician,"$262,501","$29,748","$292,249"
139,2009,LAWRENCE AND MEMORIAL HOSPITAL,7,ER Physician,"$272,268","$15,832","$288,100"
140,2009,LAWRENCE AND MEMORIAL HOSPITAL,8,ER Physician,"$253,626","$29,557","$283,183"
141,2009,LAWRENCE AND MEMORIAL HOSPITAL,9,ER Physician,"$246,062","$21,528","$267,590"
142,2009,LAWRENCE AND MEMORIAL HOSPITAL,10,ER Physician,"$234,471","$32,525","$266,996"
143,2009,MANCHESTER MEMORIAL HOSPITAL,1,CEO,"$486,986","$22,204","$509,190"
144,2009,MANCHESTER MEMORIAL HOSPITAL,2,Emergency Room MD,"$350,373","$11,527","$361,900"
145,2009,MANCHESTER MEMORIAL HOSPITAL,3,CFO,"$312,817","$22,265","$335,082"
146,2009,MANCHESTER MEMORIAL HOSPITAL,4,Emergency Room MD,"$312,270","$19,206","$331,476"
147,2009,MANCHESTER MEMORIAL HOSPITAL,5,Medical Director ED,"$302,040","$13,198","$315,238"
148,2009,MANCHESTER MEMORIAL HOSPITAL,6,Emergency Room MD,"$302,009","$28,922","$330,931"
149,2009,MANCHESTER MEMORIAL HOSPITAL,7,Emergency Room MD,"$301,257","$20,011","$321,268"
150,2009,MANCHESTER MEMORIAL HOSPITAL,8,Emergency Room MD,"$296,763","$19,697","$316,460"
151,2009,MANCHESTER MEMORIAL HOSPITAL,9,Emergency Room MD,"$295,977","$31,600","$327,577"
152,2009,MANCHESTER MEMORIAL HOSPITAL,10,Emergency Room MD,"$295,876","$20,175","$316,051"
153,2009,MIDDLESEX HOSPITAL,1,President/CEO,"$561,083","$816,483","$1,377,566"
154,2009,MIDDLESEX HOSPITAL,2,Sr VP/ COO,"$341,926","$241,347","$583,273"
155,2009,MIDDLESEX HOSPITAL,3,"VP, Nursing","$227,313","$227,795","$455,108"
156,2009,MIDDLESEX HOSPITAL,4,"Vp, Clinical Affairs","$309,080","$115,995","$425,075"
157,2009,MIDDLESEX HOSPITAL,5,"Chairman, Emergency Medicine","$345,892","$68,622","$414,514"
158,2009,MIDDLESEX HOSPITAL,6,"Chief, Dept of Medicine","$329,670","$53,880","$383,550"
159,2009,MIDDLESEX HOSPITAL,7,Clinical Director of Infectious Disease,"$320,932","$52,857","$373,789"
160,2009,MIDDLESEX HOSPITAL,8,"VP, Finance/CFO","$266,937","$99,897","$366,834"
161,2009,MIDDLESEX HOSPITAL,9,"Physician, Emergency Dept","$313,594","$46,339","$359,933"
162,2009,MIDDLESEX HOSPITAL,10,"Medical Director, Emergency Dept","$304,970","$49,850","$354,820"
163,2009,MIDSTATE MEDICAL CENTER,1,Pres / CEO,"$593,882","$262,412","$856,294"
164,2009,MIDSTATE MEDICAL CENTER,2,ED Physician,"$396,263","$119,275","$515,538"
165,2009,MIDSTATE MEDICAL CENTER,3,ED Physician,"$327,529","$98,586","$426,115"
166,2009,MIDSTATE MEDICAL CENTER,4,CFO,"$335,557","$82,322","$417,879"
167,2009,MIDSTATE MEDICAL CENTER,5,ED Physician,"$281,490","$84,728","$366,218"
168,2009,MIDSTATE MEDICAL CENTER,6,Hospitalist Physician Director,"$278,983","$83,974","$362,957"
169,2009,MIDSTATE MEDICAL CENTER,7,ED Physician,"$270,844","$81,524","$352,368"
170,2009,MIDSTATE MEDICAL CENTER,8,ED Physician,"$264,362","$79,573","$343,935"
171,2009,MIDSTATE MEDICAL CENTER,9,ED Physician,"$258,533","$77,818","$336,351"
172,2009,MIDSTATE MEDICAL CENTER,10,ED Physician,"$254,779","$76,688","$331,467"
173,2009,MILFORD HOSPITAL,1,Physician--Dir. ICU,"$376,230","$59,084","$435,314"
174,2009,MILFORD HOSPITAL,2,President,"$324,217","$43,883","$368,100"
175,2009,MILFORD HOSPITAL,3,E.R. Physician,"$298,499","$42,537","$341,036"
176,2009,MILFORD HOSPITAL,4,E.R. Physician,"$292,474","$58,065","$350,539"
177,2009,MILFORD HOSPITAL,5,E.R. Physician,"$276,777","$58,301","$335,078"
178,2009,MILFORD HOSPITAL,6,Hospitalist,"$274,527","$57,986","$332,513"
179,2009,MILFORD HOSPITAL,7,E.R. Physician,"$270,130","$55,508","$325,638"
180,2009,MILFORD HOSPITAL,8,E.R. Physician,"$270,130","$56,363","$326,493"
181,2009,MILFORD HOSPITAL,9,E.R. Physician,"$269,840","$52,485","$322,325"
182,2009,MILFORD HOSPITAL,10,E.R. Physician,"$260,822","$54,495","$315,317"
183,2009,NEW MILFORD HOSPITAL,1,V.P. FINANCE,"$1,524,111","$50,349","$1,574,460"
184,2009,NEW MILFORD HOSPITAL,2,PRESIDENT,"$516,397","$63,372","$579,769"
185,2009,NEW MILFORD HOSPITAL,3,EX-PRESIDENT,"$450,913","$53,786","$504,699"
186,2009,NEW MILFORD HOSPITAL,4,RAD-PHYSICIAN,"$419,557","$33,615","$453,172"
187,2009,NEW MILFORD HOSPITAL,5,LAB-PHYSICIAN,"$410,001","$34,619","$444,620"
188,2009,NEW MILFORD HOSPITAL,6,DIR-EMER SVCS,"$406,712","$35,883","$442,595"
189,2009,NEW MILFORD HOSPITAL,7,"EAR,NOSE & THROAT PHYSICIAN","$360,031","$33,078","$393,109"
190,2009,NEW MILFORD HOSPITAL,8,PVT-PHYSICIAN,"$343,525","$44,761","$388,286"
191,2009,NEW MILFORD HOSPITAL,9,"VP-NURSING, COO","$333,463","$45,550","$379,013"
192,2009,NEW MILFORD HOSPITAL,10,ER-PHYSICIAN,"$308,514","$33,478","$341,992"
193,2009,NORWALK HOSPITAL,1,President & CEO,"$869,034","$72,511","$941,545"
194,2009,NORWALK HOSPITAL,2,"Chairman, Dept. of Medicine","$688,869","$138,351","$827,220"
195,2009,NORWALK HOSPITAL,3,"Chairman, Dept. of OB/GYN","$733,218","$54,240","$787,458"
196,2009,NORWALK HOSPITAL,4,VP & Chief Operating Officer,"$531,218","$49,588","$580,806"
197,2009,NORWALK HOSPITAL,5,"Physician, Emergency Department","$470,747","$76,130","$546,877"
198,2009,NORWALK HOSPITAL,6,"Physician, Emergeny Department","$477,531","$61,903","$539,434"
199,2009,NORWALK HOSPITAL,7,"Chairman, Dept. of Emergency Medicine","$431,712","$88,998","$520,710"
200,2009,NORWALK HOSPITAL,8,VP Nursing Patient Care Services,"$341,089","$95,694","$436,783"
201,2009,NORWALK HOSPITAL,9,VP Planning and Business Development,"$357,051","$50,066","$407,117"
202,2009,NORWALK HOSPITAL,10,"Physician, Emergency Department","$351,352","$40,768","$392,120"
203,2009,ROCKVILLE GENERAL HOSPITAL,1,Emergency Room staff MD,"$279,098","$19,535","$298,633"
204,2009,ROCKVILLE GENERAL HOSPITAL,2,OB/GYN,"$250,211","$3,434","$253,645"
205,2009,ROCKVILLE GENERAL HOSPITAL,3,Infection Control Director MD,"$211,382","$19,700","$231,082"
206,2009,ROCKVILLE GENERAL HOSPITAL,4,CEO,"$208,708","$9,516","$218,224"
207,2009,ROCKVILLE GENERAL HOSPITAL,5,Emergency Room staff MD,"$137,497","$19,128","$156,625"
208,2009,ROCKVILLE GENERAL HOSPITAL,6,CFO,"$134,065","$9,321","$143,386"
209,2009,ROCKVILLE GENERAL HOSPITAL,7,Medical Director ED,"$129,446","$5,656","$135,102"
210,2009,ROCKVILLE GENERAL HOSPITAL,8,Admin Director,"$125,885","$13,119","$139,004"
211,2009,ROCKVILLE GENERAL HOSPITAL,9,Senior VP of Medical Affairs,"$122,683","$11,965","$134,648"
212,2009,ROCKVILLE GENERAL HOSPITAL,10,RN ICU,"$113,114","$19,543","$132,657"
213,2009,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,1,President,"$1,134,438","$91,022","$1,225,460"
214,2009,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,2,Executive Vice President,"$713,321","$63,638","$776,959"
215,2009,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,3,Senior Vice President and CFO,"$699,492","$65,391","$764,883"
216,2009,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,4,Senior Vice President and General Counsel,"$642,571","$96,811","$739,382"
217,2009,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,5,Executive Vice President and COO,"$461,450","$44,692","$506,142"
218,2009,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,6,Senior Vice President - Planning,"$446,346","$47,748","$494,094"
219,2009,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,7,Section Chief - Pathology,"$438,063","$42,021","$480,084"
220,2009,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,8,Department Chairman - Pathology,"$412,372","$40,898","$453,270"
221,2009,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,9,Program Director - Pathology,"$394,575","$39,478","$434,053"
222,2009,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,10,President - Saint Francis Foundation,"$365,146","$67,980","$433,126"
223,2009,SAINT MARY`S HOSPITAL,1,Executive Vice President,"$471,247","$122,502","$593,749"
224,2009,SAINT MARY`S HOSPITAL,2,Vice President & CFO current,"$313,475","$78,741","$392,216"
225,2009,SAINT MARY`S HOSPITAL,3,Vice President Patient Services,"$257,192","$39,354","$296,546"
226,2009,SAINT MARY`S HOSPITAL,4,Vice President Human Resources,"$211,524","$34,514","$246,038"
227,2009,SAINT MARY`S HOSPITAL,5,Vice President & Chief Medical Officer,"$234,643","$35,414","$270,057"
228,2009,SAINT MARY`S HOSPITAL,6,Chief Information Officer,"$159,248","$19,254","$178,502"
229,2009,SAINT MARY`S HOSPITAL,7,Chief Marketing Officer,"$145,939","$32,813","$178,752"
230,2009,SAINT MARY`S HOSPITAL,8,Critical Care Nurse,"$144,219","$18,640","$162,859"
231,2009,SAINT MARY`S HOSPITAL,9,"Director, Operating Room","$143,768","$18,271","$162,039"
232,2009,SAINT MARY`S HOSPITAL,10,Director Clinical Quality,"$142,330","$30,679","$173,009"
233,2009,SAINT VINCENT`S MEDICAL CENTER,1,CHIEF EXECUTIVE OFFICER,"$641,598","$634,228","$1,275,826"
234,2009,SAINT VINCENT`S MEDICAL CENTER,2,CHIEF CARDIO THORACIC SURGERY,"$686,444","$27,855","$714,299"
235,2009,SAINT VINCENT`S MEDICAL CENTER,3,CLINICAL CHAIR ONCOLOGY,"$496,551","$162,654","$659,205"
236,2009,SAINT VINCENT`S MEDICAL CENTER,4,CORP SR VP MARKETING/GOVT RELATIONS,"$333,770","$290,771","$624,541"
237,2009,SAINT VINCENT`S MEDICAL CENTER,5,CLINICAL VP MEDICINE,"$411,959","$210,444","$622,403"
238,2009,SAINT VINCENT`S MEDICAL CENTER,6,CLINICAL VP SURGICAL SERVICES,"$454,999","$139,140","$594,139"
239,2009,SAINT VINCENT`S MEDICAL CENTER,7,DIRECTOR - CARDIO THORACIC SURGERY,"$509,057","$27,650","$536,707"
240,2009,SAINT VINCENT`S MEDICAL CENTER,8,GENERAL SURGEON,"$478,436","$27,671","$506,107"
241,2009,SAINT VINCENT`S MEDICAL CENTER,9,ED PHYSICIAN,"$378,760","$64,542","$443,302"
242,2009,SAINT VINCENT`S MEDICAL CENTER,10,ED PHYSICIAN,"$375,712","$59,441","$435,153"
243,2009,STAMFORD HOSPITAL,1,President & CEO,"$886,849","$1,512,760","$2,399,609"
244,2009,STAMFORD HOSPITAL,2,Sr. VP of Medical Affairs,"$619,464","$225,002","$844,466"
245,2009,STAMFORD HOSPITAL,3,Chief of Surgery,"$576,089","$101,168","$677,257"
246,2009,STAMFORD HOSPITAL,4,Chief Financial Officer,"$361,900","$222,126","$584,026"
247,2009,STAMFORD HOSPITAL,5,"Chair, Dept of Obstetrics","$427,844","$151,763","$579,607"
248,2009,STAMFORD HOSPITAL,6,Exec. VP and Chief Operating Officer,"$438,582","$117,453","$556,035"
249,2009,STAMFORD HOSPITAL,7,Sr. VP of Strategy & Marketing,"$377,423","$178,343","$555,766"
250,2009,STAMFORD HOSPITAL,8,"Chair, Dept of Pediatrics","$413,153","$121,938","$535,091"
251,2009,STAMFORD HOSPITAL,9,Director of Cardiology,"$524,479","$3,351","$527,830"
252,2009,STAMFORD HOSPITAL,10,Sr. VP of Talent & Culture,"$318,935","$188,822","$507,757"
253,2009,THE HOSPITAL OF CENTRAL CONNECTICUT,1,Chief Executive Officer,"$2,783,155","$68,065","$2,851,220"
254,2009,THE HOSPITAL OF CENTRAL CONNECTICUT,2,Senior Vice President of Medical Affairs,"$514,384","$137,914","$652,298"
255,2009,THE HOSPITAL OF CENTRAL CONNECTICUT,3,Chief of Pediatrics,"$493,347","$70,224","$563,571"
256,2009,THE HOSPITAL OF CENTRAL CONNECTICUT,4,Chief Financial Officer,"$518,769","$28,826","$547,595"
257,2009,THE HOSPITAL OF CENTRAL CONNECTICUT,5,Chief Emergency Room Physician,"$381,880","$93,894","$475,774"
258,2009,THE HOSPITAL OF CENTRAL CONNECTICUT,6,Chief Operating Officer,"$440,621","$14,164","$454,785"
259,2009,THE HOSPITAL OF CENTRAL CONNECTICUT,7,Hospitalist,"$388,412","$27,048","$415,460"
260,2009,THE HOSPITAL OF CENTRAL CONNECTICUT,8,Chief of Medicine,"$343,613","$67,601","$411,214"
261,2009,THE HOSPITAL OF CENTRAL CONNECTICUT,9,Director of Cardiology,"$352,340","$30,150","$382,490"
