Hospital,Type,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2014
BRISTOL HOSPITAL,Total Emergency Room Visits,37397,39526,40133,39052,38760,39860,38029,38353
BRISTOL HOSPITAL,Uncompensated Care Cost,"$3,154,274","$3,929,667","$3,891,013","$3,471,915","$4,010,210","$3,782,697","$3,525,525","$3,067,593"
CONNECTICUT CHILDREN‰ÛªS MEDICAL CENTER,ALOS,5.5,6,6.4,5.6,5.4,6.1,6.7,7.2
CONNECTICUT CHILDREN‰ÛªS MEDICAL CENTER,Champus / TRICARE,31,38,27,31,38,52,53,70
CONNECTICUT CHILDREN‰ÛªS MEDICAL CENTER,Discharges,5638,5534,5806,6359,6800,6203,6642,6422
CONNECTICUT CHILDREN‰ÛªS MEDICAL CENTER,Emergency Room - Treated and Admitted,3652,2849,3037,2838,3473,3376,3365,3299
CONNECTICUT CHILDREN‰ÛªS MEDICAL CENTER,Emergency Room - Treated and Discharged,36485,40323,43517,47262,50118,50112,52613,52341
CONNECTICUT CHILDREN‰ÛªS MEDICAL CENTER,Full Time Equivalent Employees,970,1093.5,1189.5,1195.2,1212.5,1229.2,1331.9,1429.7
CONNECTICUT CHILDREN‰ÛªS MEDICAL CENTER,Hospital Total Margins,-4.40%,4.52%,4.73%,5.50%,7.09%,6.92%,6.99%,0.12%
CONNECTICUT CHILDREN‰ÛªS MEDICAL CENTER,Medicaid,2444,2589,2676,3255,3644,3177,3392,3357
CONNECTICUT CHILDREN‰ÛªS MEDICAL CENTER,Medicaid Payment to Cost Ratio,0.74,0.64,0.71,0.72,0.69,0.71,0.67,0.58
CONNECTICUT CHILDREN‰ÛªS MEDICAL CENTER,Medicare,47,13,10,8,8,14,3,20
CONNECTICUT CHILDREN‰ÛªS MEDICAL CENTER,Medicare Payment to Cost Ratio,6.81,9.2,7.48,12.14,18.1,15.71,12.66,6.03
CONNECTICUT CHILDREN‰ÛªS MEDICAL CENTER,Occupancy of staffed beds,70%,73%,81%,69%,71%,57%,67%,69%
CONNECTICUT CHILDREN‰ÛªS MEDICAL CENTER,Private Payment to Cost Ratio,0.84,1.01,1.1,1.16,1.21,1.27,1.21,1.26
CONNECTICUT CHILDREN‰ÛªS MEDICAL CENTER,Staffed Beds,122,123,126,142,142,182,182,182
CONNECTICUT CHILDREN‰ÛªS MEDICAL CENTER,Total Case Mix Index,1.3031,1.3817,1.5211,1.4024,1.3241,1.3623,1.5618,1.6229
CONNECTICUT CHILDREN‰ÛªS MEDICAL CENTER,Total Emergency Room Visits,40137,43172,46554,50100,53591,53488,55978,55640
CONNECTICUT CHILDREN‰ÛªS MEDICAL CENTER,Uncompensated Care Cost,"$2,312,466","$2,100,336","$2,346,998","$2,098,176","$2,341,098","$1,255,628","$2,467,230","$2,652,569"
DANBURY HOSPITAL,ALOS,4.2,4.2,4.3,4.5,4.6,4.7,4.7,4.9
DANBURY HOSPITAL,Champus / TRICARE,20,14,14,25,29,34,34,35
DANBURY HOSPITAL,Discharges,20438,20752,20459,20497,20715,20763,19668,18562
DANBURY HOSPITAL,Emergency Room - Treated and Admitted,11776,11986,13088,13885,14124,14603,14260,11548
DANBURY HOSPITAL,Emergency Room - Treated and Discharged,55074,55943,54465,55697,56136,54992,56362,58017
DANBURY HOSPITAL,Full Time Equivalent Employees,2309,2345.9,2448.1,2448,2492.8,2541.3,2403.9,2361.9
DANBURY HOSPITAL,Hospital Total Margins,8.04%,12.07%,-1.78%,8.01%,8.83%,4.56%,9.39%,7.36%
DANBURY HOSPITAL,Medicaid,1863,2232,2270,2312,2727,3069,3326,3321
DANBURY HOSPITAL,Medicaid Payment to Cost Ratio,0.66,0.71,0.8,0.64,0.64,0.55,0.57,0.56
DANBURY HOSPITAL,Medicare,8288,8306,8382,8566,8917,9495,8736,8369
DANBURY HOSPITAL,Medicare Payment to Cost Ratio,0.87,0.84,0.86,0.79,0.79,0.77,0.78,0.83
DANBURY HOSPITAL,Occupancy of staffed beds,93%,98%,97%,93%,94%,93%,95%,93%
DANBURY HOSPITAL,Private Payment to Cost Ratio,1.41,1.47,1.44,1.36,1.37,1.37,1.4,1.52
DANBURY HOSPITAL,Staffed Beds,251,246,248,271,278,286,265,267
DANBURY HOSPITAL,Total Case Mix Index,1.1693,1.176,1.2113,1.1989,1.2011,1.2321,1.2215,1.3296
DANBURY HOSPITAL,Total Emergency Room Visits,66850,67929,67553,69582,70260,69595,70622,69565
DANBURY HOSPITAL,Uncompensated Care Cost,"$8,926,518","$9,919,306","$10,675,330","$12,695,350","$10,279,289","$13,011,700","$14,361,005","$11,728,671"
DAY KIMBALL HOSPITAL,ALOS,3.5,3.6,3.8,3.6,3.6,3.6,3.6,3.7
DAY KIMBALL HOSPITAL,Champus / TRICARE,37,55,36,13,46,32,37,20
DAY KIMBALL HOSPITAL,Discharges,5670,5586,5387,5573,5202,5182,5097,4331
DAY KIMBALL HOSPITAL,Emergency Room - Treated and Admitted,3528,3553,3505,3673,3604,3521,3285,2777
DAY KIMBALL HOSPITAL,Emergency Room - Treated and Discharged,24968,25170,24650,30101,28650,25284,24726,21491
DAY KIMBALL HOSPITAL,Full Time Equivalent Employees,730,705.3,714.4,737.9,774.8,802.8,835.4,806.7
DAY KIMBALL HOSPITAL,Hospital Total Margins,1.53%,0.77%,-3.03%,1.59%,3.95%,2.95%,4.31%,0.80%
DAY KIMBALL HOSPITAL,Medicaid,894,888,821,871,1050,1240,1427,1265
DAY KIMBALL HOSPITAL,Medicaid Payment to Cost Ratio,0.64,0.71,0.66,0.78,0.71,0.77,0.82,0.75
DAY KIMBALL HOSPITAL,Medicare,2491,2508,2333,2571,2334,2368,2208,1947
DAY KIMBALL HOSPITAL,Medicare Payment to Cost Ratio,0.94,0.93,0.83,0.9,0.96,0.94,0.92,0.89
DAY KIMBALL HOSPITAL,Occupancy of staffed beds,76%,78%,78%,77%,72%,70%,78%,68%
DAY KIMBALL HOSPITAL,Private Payment to Cost Ratio,1.21,1.22,1.11,1.18,1.18,1.1,1.15,1.2
DAY KIMBALL HOSPITAL,Staffed Beds,72,72,72,72,72,72,65,65
DAY KIMBALL HOSPITAL,Total Case Mix Index,0.8878,0.9052,0.8841,0.9223,0.9137,0.9894,1.0285,1.0684
DAY KIMBALL HOSPITAL,Total Emergency Room Visits,28496,28723,28155,33774,32254,28805,28011,24268
DAY KIMBALL HOSPITAL,Uncompensated Care Cost,"$2,242,552","$2,442,527","$2,780,816","$2,675,910","$2,748,737","$2,196,343","$2,200,156","$1,859,896"
GREENWICH HOSPITAL,ALOS,3.9,3.8,4.1,3.9,3.9,3.9,4,4.2
GREENWICH HOSPITAL,Champus / TRICARE,5,4,2,6,6,4,4,13
GREENWICH HOSPITAL,Discharges,12346,12779,12731,12931,13627,13479,13027,12439
GREENWICH HOSPITAL,Emergency Room - Treated and Admitted,6166,6956,7569,7824,7764,7715,7663,7527
GREENWICH HOSPITAL,Emergency Room - Treated and Discharged,32163,32906,33101,35461,34887,35170,35924,34925
GREENWICH HOSPITAL,Full Time Equivalent Employees,1518,1563.3,1595.9,1440.1,1461.7,1613,1489.3,1465.1
GREENWICH HOSPITAL,Hospital Total Margins,2.16%,5.52%,-3.54%,3.24%,4.32%,1.93%,4.86%,8.24%
GREENWICH HOSPITAL,Medicaid,171,242,161,327,517,445,425,370
GREENWICH HOSPITAL,Medicaid Payment to Cost Ratio,0.73,0.88,0.79,0.8,0.58,0.69,0.39,0.69
GREENWICH HOSPITAL,Medicare,4323,4677,4740,5054,5269,5255,4984,4888
GREENWICH HOSPITAL,Medicare Payment to Cost Ratio,0.8,0.79,0.74,0.72,0.71,0.67,0.66,0.72
GREENWICH HOSPITAL,Occupancy of staffed beds,65%,65%,69%,67%,71%,70%,69%,69%
GREENWICH HOSPITAL,Private Payment to Cost Ratio,1.22,1.21,1.22,1.21,1.22,1.27,1.32,1.42
GREENWICH HOSPITAL,Staffed Beds,201,206,206,206,206,206,206,206
GREENWICH HOSPITAL,Total Case Mix Index,1.0091,1.0251,1.09,1.0745,1.0868,1.1277,1.0476,1.1096
GREENWICH HOSPITAL,Total Emergency Room Visits,38329,39862,40670,43285,42651,42885,43587,42452
GREENWICH HOSPITAL,Uncompensated Care Cost,"$7,878,263","$8,412,549","$9,588,769","$9,612,333","$9,507,865","$9,076,877","$9,443,391","$8,265,933"
GRIFFIN HOSPITAL,ALOS,4.5,4.3,4.6,4.5,4.3,4.2,4.2,4.4
GRIFFIN HOSPITAL,Champus / TRICARE,23,24,23,6,10,6,17,10
GRIFFIN HOSPITAL,Discharges,7518,7817,7617,7533,7719,7494,7063,7176
GRIFFIN HOSPITAL,Emergency Room - Treated and Admitted,5075,5274,5413,5426,5533,5178,4870,5156
GRIFFIN HOSPITAL,Emergency Room - Treated and Discharged,31085,32857,33483,33789,33402,34965,36080,34542
GRIFFIN HOSPITAL,Hospital Total Margins,1.05%,0.62%,-1.56%,1.02%,-0.79%,-0.14%,-3.08%,3.28%
GRIFFIN HOSPITAL,Medicaid,868,1111,1008,1024,1278,1306,1283,1315
GRIFFIN HOSPITAL,Medicaid Payment to Cost Ratio,0.77,0.75,0.79,0.81,0.85,0.7,0.61,0.61
GRIFFIN HOSPITAL,Medicare,3609,3673,3594,3622,3673,3482,3301,3456
GRIFFIN HOSPITAL,Medicare Payment to Cost Ratio,0.96,0.95,0.94,0.94,0.92,0.9,0.85,0.91
GRIFFIN HOSPITAL,Occupancy of staffed beds,98%,97%,98%,97%,97%,97%,98%,97%
GRIFFIN HOSPITAL,Private Payment to Cost Ratio,1.09,0.95,0.99,1.06,1.19,1.16,1.23,1.3
GRIFFIN HOSPITAL,Staffed Beds,94,96,97,95,94,89,82,88
GRIFFIN HOSPITAL,Total Case Mix Index,0.9904,1.0261,1.0903,1.1159,1.0936,1.1007,1.1349,1.1435
GRIFFIN HOSPITAL,Total Emergency Room Visits,36160,38131,38896,39215,38935,40143,40950,39698
GRIFFIN HOSPITAL,Uncompensated Care Cost,"$2,935,445","$3,629,172","$3,467,095","$4,048,218","$3,193,586","$3,463,489","$2,367,752","$2,056,918"
HARTFORD HOSPITAL,ALOS,5.5,5.3,5.3,5.2,5.3,5.5,5.7,5.6
HARTFORD HOSPITAL,Champus / TRICARE,108,136,160,186,166,238,233,200
HARTFORD HOSPITAL,Discharges,39269,39621,39840,41188,41265,40674,41251,41809
HARTFORD HOSPITAL,Emergency Room - Treated and Admitted,14654,15141,15872,16393,16735,17014,20588,22296
HARTFORD HOSPITAL,Emergency Room - Treated and Discharged,65340,65128,66455,73715,78670,78553,79223,78503
HARTFORD HOSPITAL,Full Time Equivalent Employees,4908,5207,5331.3,5396.3,5648,5838.3,6033.5,6124.9
HARTFORD HOSPITAL,Hospital Total Margins,1.58%,2.13%,-5.43%,-0.52%,3.52%,1.96%,8.03%,2.22%
HARTFORD HOSPITAL,Medicaid,5863,5940,6256,6942,7923,9492,9311,9578
HARTFORD HOSPITAL,Medicaid Payment to Cost Ratio,0.76,0.7,0.76,0.72,0.68,0.68,0.65,0.59
HARTFORD HOSPITAL,Medicare,15192,15219,15288,15533,15819,15795,16556,17247
HARTFORD HOSPITAL,Medicare Payment to Cost Ratio,1.02,0.89,0.82,0.84,0.84,0.85,0.88,0.79
HARTFORD HOSPITAL,Occupancy of staffed beds,78%,78%,100%,99%,96%,96%,96%,100%
HARTFORD HOSPITAL,Private Payment to Cost Ratio,1.11,1.01,1.02,1.14,1.14,1.24,1.29,1.37
HARTFORD HOSPITAL,Staffed Beds,749,749,583,595,630,640,667,647
HARTFORD HOSPITAL,Total Case Mix Index,1.3904,1.3902,1.3966,1.4092,1.4865,1.5401,1.5717,1.5716
HARTFORD HOSPITAL,Total Emergency Room Visits,79994,80269,82327,90108,95405,95567,99811,100799
HARTFORD HOSPITAL,Uncompensated Care Cost,"$19,451,086","$22,272,022","$25,355,190","$21,461,664","$29,595,623","$13,838,056","$20,089,338","$18,404,841"
HOSPITAL OF CENTRAL CONNECTICUT,ALOS,4.1,4,4.2,4.3,4.2,4,4.2,4.2
HOSPITAL OF CENTRAL CONNECTICUT,ALOS,4.4,4.5,4.5,4.5,4.2,4,4.2,4.2
HOSPITAL OF CENTRAL CONNECTICUT,Champus / TRICARE,14,14,15,25,37,46,31,19
HOSPITAL OF CENTRAL CONNECTICUT,Champus / TRICARE,12,44,44,33,37,46,31,19
HOSPITAL OF CENTRAL CONNECTICUT,Discharges,6197,6145,6084,6320,19517,20546,18252,17907
HOSPITAL OF CENTRAL CONNECTICUT,Discharges,21073,22782,20981,20067,19517,20546,18252,17907
HOSPITAL OF CENTRAL CONNECTICUT,Emergency Room - Treated and Admitted,3759,4021,4015,4476,15051,14219,14064,14470
HOSPITAL OF CENTRAL CONNECTICUT,Emergency Room - Treated and Admitted,13454,15442,15253,15137,15051,14219,14064,14470
HOSPITAL OF CENTRAL CONNECTICUT,Emergency Room - Treated and Discharged,33976,35152,34814,34464,90611,94835,96434,92594
HOSPITAL OF CENTRAL CONNECTICUT,Emergency Room - Treated and Discharged,70884,74916,79483,87919,90611,94835,96434,92594
HOSPITAL OF CENTRAL CONNECTICUT,Full Time Equivalent Employees,665,655,672.9,684.8,2166.1,2172,2299.5,2272.9
HOSPITAL OF CENTRAL CONNECTICUT,Full Time Equivalent Employees,2118,2213.6,2256.7,2224.2,2166.1,2172,2299.5,2272.9
HOSPITAL OF CENTRAL CONNECTICUT,Hospital Total Margins,3.74%,3.73%,2.46%,3.81%,1.41%,6.13%,7.02%,6.26%
HOSPITAL OF CENTRAL CONNECTICUT,Hospital Total Margins,1.15%,3.90%,1.13%,0.18%,1.41%,6.13%,7.02%,6.26%
HOSPITAL OF CENTRAL CONNECTICUT,Medicaid,778,763,771,735,4042,4816,4352,4668
HOSPITAL OF CENTRAL CONNECTICUT,Medicaid,3251,3842,3466,3283,4042,4816,4352,4668
HOSPITAL OF CENTRAL CONNECTICUT,Medicaid Payment to Cost Ratio,0.85,0.8,0.79,0.75,0.82,0.81,0.68,0.7
HOSPITAL OF CENTRAL CONNECTICUT,Medicaid Payment to Cost Ratio,0.54,0.65,0.66,0.72,0.82,0.81,0.68,0.7
HOSPITAL OF CENTRAL CONNECTICUT,Medicare,9528,9982,9670,9221,8738,9651,8524,8464
HOSPITAL OF CENTRAL CONNECTICUT,Medicare,2956,3112,3072,3405,8738,9651,8524,8464
HOSPITAL OF CENTRAL CONNECTICUT,Medicare Payment to Cost Ratio,1.02,1.04,1.02,1.03,0.78,0.84,0.83,0.85
HOSPITAL OF CENTRAL CONNECTICUT,Medicare Payment to Cost Ratio,0.83,0.88,0.87,0.82,0.78,0.84,0.83,0.85
HOSPITAL OF CENTRAL CONNECTICUT,Occupancy of staffed beds,73%,92%,95%,97%,66%,64%,59%,68%
HOSPITAL OF CENTRAL CONNECTICUT,Occupancy of staffed beds,65%,75%,78%,68%,66%,64%,59%,68%
HOSPITAL OF CENTRAL CONNECTICUT,Private Payment to Cost Ratio,1.36,1.36,1.36,1.3,1.28,1.51,1.43,1.51
HOSPITAL OF CENTRAL CONNECTICUT,Private Payment to Cost Ratio,1.04,0.98,1.01,1.03,1.28,1.51,1.43,1.51
HOSPITAL OF CENTRAL CONNECTICUT,Staffed Beds,101,82,78,81,341,356,356,304
HOSPITAL OF CENTRAL CONNECTICUT,Staffed Beds,367,331,310,349,341,356,356,304
HOSPITAL OF CENTRAL CONNECTICUT,Total Case Mix Index,1.0687,1.0757,1.1354,1.1727,1.1864,1.17,1.2002,1.2658
HOSPITAL OF CENTRAL CONNECTICUT,Total Case Mix Index,1.1388,1.193,1.1815,1.2197,1.1864,1.17,1.2002,1.2658
HOSPITAL OF CENTRAL CONNECTICUT,Total Emergency Room Visits,37735,39173,38829,38940,105662,109054,110498,107064
HOSPITAL OF CENTRAL CONNECTICUT,Total Emergency Room Visits,84338,90358,94736,103056,105662,109054,110498,107064
HOSPITAL OF CENTRAL CONNECTICUT,Uncompensated Care Cost,"$6,164,382","$9,438,991","$9,641,415","$10,844,597","$8,317,480","$7,858,309","$10,554,538","$10,738,540"
HOSPITAL OF CENTRAL CONNECTICUT,Uncompensated Care Cost,"$1,583,287","$2,038,883","$2,056,204","$2,033,395","$8,317,480","$7,858,309","$10,554,538","$10,738,540"
JOHN DEMPSEY HOSPITAL,ALOS,6,6,6.1,5.9,5.4,5.7,4.8,4.7
JOHN DEMPSEY HOSPITAL,Champus / TRICARE,37,74,66,63,84,62,41,35
JOHN DEMPSEY HOSPITAL,Discharges,9931,10009,9856,9587,9567,9082,8374,8578
JOHN DEMPSEY HOSPITAL,Emergency Room - Treated and Admitted,3998,4706,4730,4436,4713,4893,4877,5131
JOHN DEMPSEY HOSPITAL,Emergency Room - Treated and Discharged,23923,25548,25355,24156,24798,25371,24430,23640
JOHN DEMPSEY HOSPITAL,Full Time Equivalent Employees,1270,1237.4,1338.4,1302.8,1195,1285.3,1544.9,1592.7
JOHN DEMPSEY HOSPITAL,Hospital Total Margins,2.05%,-1.72%,-6.18%,1.25%,3.23%,0.91%,0.00%,3.63%
JOHN DEMPSEY HOSPITAL,Medicaid,1296,1295,1417,1569,1757,1872,2050,2162
JOHN DEMPSEY HOSPITAL,Medicaid Payment to Cost Ratio,1.03,0.98,0.79,0.74,0.75,0.75,0.67,0.75
JOHN DEMPSEY HOSPITAL,Medicare,4052,3888,3959,3860,3950,3811,3700,3822
JOHN DEMPSEY HOSPITAL,Medicare Payment to Cost Ratio,1.19,1.02,1.06,1.05,0.99,1,0.82,0.9
JOHN DEMPSEY HOSPITAL,Occupancy of staffed beds,73%,74%,73%,69%,97%,94%,60%,61%
JOHN DEMPSEY HOSPITAL,Private Payment to Cost Ratio,0.96,1,0.93,0.99,1.06,1.13,1.13,1.12
JOHN DEMPSEY HOSPITAL,Staffed Beds,224,224,224,224,145,150,184,184
JOHN DEMPSEY HOSPITAL,Total Case Mix Index,1.4149,1.42,1.4666,1.5054,1.4918,1.4546,1.42,1.4601
JOHN DEMPSEY HOSPITAL,Total Emergency Room Visits,27921,30254,30085,28592,29511,30264,29307,28771
JOHN DEMPSEY HOSPITAL,Uncompensated Care Cost,"$2,497,178","$3,309,932","$2,890,877","$3,317,622","$3,896,815","$1,659,927","$3,357,670","$1,161,135"
JOHNSON MEMORIAL HOSPITAL,ALOS,5.6,5.6,5.3,5,5.2,4.8,5,5.1
JOHNSON MEMORIAL HOSPITAL,Champus / TRICARE,23,15,23,22,20,30,19,29
JOHNSON MEMORIAL HOSPITAL,Discharges,4225,4433,4087,3618,3437,3268,3251,3139
JOHNSON MEMORIAL HOSPITAL,Emergency Room - Treated and Admitted,3250,3273,2978,3027,2178,2686,2537,2309
JOHNSON MEMORIAL HOSPITAL,Emergency Room - Treated and Discharged,17549,18111,17766,17336,17243,17435,18145,17817
JOHNSON MEMORIAL HOSPITAL,Full Time Equivalent Employees,505,509.4,552.6,469.2,475.7,463.5,464.2,460.3
JOHNSON MEMORIAL HOSPITAL,Hospital Total Margins,-4.30%,-18.73%,-3.19%,-8.48%,28.80%,-0.40%,0.08%,-4.94%
JOHNSON MEMORIAL HOSPITAL,Medicaid,502,617,605,404,509,643,646,581
JOHNSON MEMORIAL HOSPITAL,Medicaid Payment to Cost Ratio,0.94,0.62,0.67,0.69,0.61,0.65,0.68,0.58
JOHNSON MEMORIAL HOSPITAL,Medicare,2253,2322,2026,1807,1733,1616,1601,1633
JOHNSON MEMORIAL HOSPITAL,Medicare Payment to Cost Ratio,0.76,0.67,0.74,0.71,0.7,0.78,0.83,0.74
JOHNSON MEMORIAL HOSPITAL,Occupancy of staffed beds,76%,79%,82%,68%,67%,60%,62%,63%
JOHNSON MEMORIAL HOSPITAL,Private Payment to Cost Ratio,1.17,0.83,1.21,1.27,1.28,1.35,1.28,1.34
JOHNSON MEMORIAL HOSPITAL,Staffed Beds,85,86,72,72,72,72,72,70
JOHNSON MEMORIAL HOSPITAL,Total Case Mix Index,1.0051,1.0204,1.1019,1.1511,1.2111,1.1539,1.1665,1.1463
JOHNSON MEMORIAL HOSPITAL,Total Emergency Room Visits,20799,21384,20744,20363,19421,20121,20682,20126
JOHNSON MEMORIAL HOSPITAL,Uncompensated Care Cost,"$1,473,703","$2,902,401","$2,835,685","$2,945,378","$1,258,250","$1,070,220","$1,620,753","$1,900,823"
LAWRENCE & MEMORIAL HOSPITAL,ALOS,4.7,4.8,4.7,4.6,4.6,4.8,4.7,4.6
LAWRENCE & MEMORIAL HOSPITAL,Champus / TRICARE,1067,999,965,867,954,890,969,943
LAWRENCE & MEMORIAL HOSPITAL,Discharges,14701,14553,15085,14857,15464,15328,14932,14649
LAWRENCE & MEMORIAL HOSPITAL,Emergency Room - Treated and Admitted,7790,6787,7398,6855,7469,7543,6525,7004
LAWRENCE & MEMORIAL HOSPITAL,Emergency Room - Treated and Discharged,76385,75904,73088,72094,73421,72571,76140,77556
LAWRENCE & MEMORIAL HOSPITAL,Full Time Equivalent Employees,1853,1874,1856.5,1889.3,1892.8,1939.1,1954.8,1921
LAWRENCE & MEMORIAL HOSPITAL,Hospital Total Margins,5.25%,3.73%,3.12%,5.16%,1.18%,7.87%,7.53%,4.95%
LAWRENCE & MEMORIAL HOSPITAL,Medicaid,1953,1885,2189,2254,2568,3192,3028,3069
LAWRENCE & MEMORIAL HOSPITAL,Medicaid Payment to Cost Ratio,0.64,0.57,0.67,0.7,0.7,0.76,0.67,0.68
LAWRENCE & MEMORIAL HOSPITAL,Medicare,6113,6103,6340,6498,6829,6897,6829,6658
LAWRENCE & MEMORIAL HOSPITAL,Medicare Payment to Cost Ratio,0.97,0.89,0.84,0.85,0.86,0.82,0.85,0.82
LAWRENCE & MEMORIAL HOSPITAL,Occupancy of staffed beds,75%,76%,78%,75%,77%,79%,76%,72%
LAWRENCE & MEMORIAL HOSPITAL,Private Payment to Cost Ratio,1.24,1.17,1.19,1.31,1.35,1.36,1.41,1.47
LAWRENCE & MEMORIAL HOSPITAL,Staffed Beds,249,252,252,252,256,256,256,256
LAWRENCE & MEMORIAL HOSPITAL,Total Case Mix Index,1.0454,1.0452,1.0796,1.1345,1.1845,1.2128,1.2198,1.211
LAWRENCE & MEMORIAL HOSPITAL,Total Emergency Room Visits,84175,82691,80486,78949,80890,80114,82665,84560
LAWRENCE & MEMORIAL HOSPITAL,Uncompensated Care Cost,"$7,522,247","$8,722,241","$10,460,923","$8,239,436","$8,219,444","$7,851,175","$6,638,637","$6,701,686"
MANCHESTER MEMORIAL HOSPITAL,ALOS,5,4.9,4.9,5,4.9,4.7,5.2,5
MANCHESTER MEMORIAL HOSPITAL,Champus / TRICARE,19,12,14,19,34,47,41,41
MANCHESTER MEMORIAL HOSPITAL,Discharges,8981,9085,8972,8989,9109,9281,8831,9342
MANCHESTER MEMORIAL HOSPITAL,Emergency Room - Treated and Admitted,5085,5234,5138,5142,5340,5332,5028,6189
MANCHESTER MEMORIAL HOSPITAL,Emergency Room - Treated and Discharged,24021,39598,38996,40513,40946,42502,41475,40876
MANCHESTER MEMORIAL HOSPITAL,Full Time Equivalent Employees,1158,1173.6,1151.3,1155.3,1146.9,1138.9,1075.8,1108.7
MANCHESTER MEMORIAL HOSPITAL,Hospital Total Margins,0.12%,1.92%,5.22%,3.38%,3.23%,3.38%,5.03%,-0.11%
MANCHESTER MEMORIAL HOSPITAL,Medicaid,984,1081,1145,1166,1295,1854,1957,2085
MANCHESTER MEMORIAL HOSPITAL,Medicaid Payment to Cost Ratio,0.68,0.67,0.76,0.75,0.67,0.65,0.69,0.69
MANCHESTER MEMORIAL HOSPITAL,Medicare,3870,3763,3655,3770,3774,3626,3537,3821
MANCHESTER MEMORIAL HOSPITAL,Medicare Payment to Cost Ratio,0.91,0.83,0.85,0.83,0.86,0.8,0.78,0.76
MANCHESTER MEMORIAL HOSPITAL,Occupancy of staffed beds,87%,88%,86%,87%,88%,70%,73%,75%
MANCHESTER MEMORIAL HOSPITAL,Private Payment to Cost Ratio,1.17,1.19,1.24,1.17,1.19,1.29,1.34,1.35
MANCHESTER MEMORIAL HOSPITAL,Staffed Beds,140,140,140,140,140,171,171,171
MANCHESTER MEMORIAL HOSPITAL,Total Case Mix Index,1.0969,1.123,1.1912,1.2318,1.1816,1.1208,1.1529,1.1925
MANCHESTER MEMORIAL HOSPITAL,Total Emergency Room Visits,29106,44832,44134,45655,46286,47834,46503,47065
