,Hospital,Rank,Position.Title,Salary,Fringe.Benefits,Total
55,CHARLOTTE HUNGERFORD HOSPITAL,3,PHYSICIAN SURGEON,"$501,783","$139,105","$640,888"
56,CHARLOTTE HUNGERFORD HOSPITAL,4,HOSPITALIST MED DIRECTOR,"$428,102","$118,679","$546,781"
57,CHARLOTTE HUNGERFORD HOSPITAL,5,CEO PRESIDENT,"$409,048","$113,397","$522,445"
58,CHARLOTTE HUNGERFORD HOSPITAL,6,PATHOLOGIST MED DIRECTOR,"$400,275","$110,965","$511,240"
59,CHARLOTTE HUNGERFORD HOSPITAL,7,CARDIOLOGIST,"$347,228","$96,259","$443,487"
60,CHARLOTTE HUNGERFORD HOSPITAL,8,CARDIOLOGIST,"$337,234","$93,488","$430,722"
61,CHARLOTTE HUNGERFORD HOSPITAL,9,CARDIOLOGIST,"$336,845","$93,380","$430,225"
62,CHARLOTTE HUNGERFORD HOSPITAL,10,CARDIOLOGIST,"$330,681","$91,672","$422,353"
63,CT CHILDREN`S MEDICAL CENTER,1,President & CEO,"$492,122",,"$24,606"
64,CT CHILDREN`S MEDICAL CENTER,2,Senior VP Quality Improvement & Patient Safety,"$415,574",,"$54,025"
65,CT CHILDREN`S MEDICAL CENTER,3,Physician In Chief,"$438,276",,"$21,914"
66,CT CHILDREN`S MEDICAL CENTER,4,EVP & Chief Financial Officer,"$387,535",,"$38,754"
67,CT CHILDREN`S MEDICAL CENTER,5,EVP & Chief Operating Officer,"$375,379",,"$45,045"
68,CT CHILDREN`S MEDICAL CENTER,6,Senior VP & General Counsel,"$328,334",,"$39,400"
69,CT CHILDREN`S MEDICAL CENTER,7,VP Marketing & Business Development,"$281,289",,"$42,193"
70,CT CHILDREN`S MEDICAL CENTER,8,Chief Med Information Officer,"$262,150",,"$31,458"
71,CT CHILDREN`S MEDICAL CENTER,9,Chief Information Officer,"$263,360",,"$28,970"
72,CT CHILDREN`S MEDICAL CENTER,10,VP Clinical Services & CNO,"$245,122",,"$41,671"
73,DANBURY HOSPITAL,1,CEO CHIEF EXECUTIVE OFFICER,"$998,461","$58,428","$1,056,889"
74,DANBURY HOSPITAL,2,VP HUMAN RESOURCES,"$377,429","$571,440","$948,869"
75,DANBURY HOSPITAL,3,CFO CHIEF FINANCIAL OFFICER,"$569,256","$47,011","$616,267"
76,DANBURY HOSPITAL,4,CHIEF OPERATING OFFICER,"$382,505","$45,945","$428,450"
77,DANBURY HOSPITAL,5,GENERAL COUNSEL,"$342,282","$43,245","$385,527"
78,DANBURY HOSPITAL,6,CHIEF INFORMATION OFFICER,"$339,090","$38,610","$377,700"
79,DANBURY HOSPITAL,7,DIRECTOR EDUCATION & RESEARCH,"$317,965","$50,546","$368,511"
80,DANBURY HOSPITAL,8,CHIEF NURSING OFFICER,"$316,105","$47,400","$363,505"
81,DANBURY HOSPITAL,9,VP FACILITIES,"$253,855","$58,035","$311,890"
82,DANBURY HOSPITAL,10,VP PLANNING,"$260,719","$46,608","$307,327"
83,DAY KIMBALL HOSPITAL,1,President & CEO,"$389,880","$124,106","$513,986"
84,DAY KIMBALL HOSPITAL,2,Pulmonary Physician,"$319,672","$56,796","$376,468"
85,DAY KIMBALL HOSPITAL,3,Psychiatric Physician,"$312,538","$55,909","$368,447"
86,DAY KIMBALL HOSPITAL,4,Primary Care Physician,"$292,250","$53,384","$345,634"
87,DAY KIMBALL HOSPITAL,5,VP Medical Affairs,"$284,545","$52,426","$336,971"
88,DAY KIMBALL HOSPITAL,6,ICU Physician,"$248,553","$47,948","$296,501"
89,DAY KIMBALL HOSPITAL,7,Pulmonary Physician,"$217,791","$44,121","$261,912"
90,DAY KIMBALL HOSPITAL,8,Psychiatric Physician,"$216,112","$43,912","$260,024"
91,DAY KIMBALL HOSPITAL,9,Director Informatics,"$184,612","$39,993","$224,605"
92,DAY KIMBALL HOSPITAL,10,Sr. VP of Finance/CFO,"$184,496","$39,979","$224,475"
93,ESSENT-SHARON HOSPITAL,1,Chief Executive Officer,"$221,100",,"$93,505"
94,ESSENT-SHARON HOSPITAL,2,Chief Financial Officer,"$214,457",,"$54,509"
95,ESSENT-SHARON HOSPITAL,3,Associate Administrator/Director HR,"$140,749",,"$35,765"
96,ESSENT-SHARON HOSPITAL,4,"Director of Clinical Services, RN","$106,949",,"$27,177"
97,ESSENT-SHARON HOSPITAL,5,Corp Compliance/Director HIM,"$120,671",,"$30,664"
98,ESSENT-SHARON HOSPITAL,6,Registered Nurse -Operating Room,"$112,440",,"$28,572"
99,ESSENT-SHARON HOSPITAL,7,"Director, Rehab Services","$111,642",,"$28,369"
100,ESSENT-SHARON HOSPITAL,8,"Director, Emergency Services","$109,602",,"$27,851"
101,ESSENT-SHARON HOSPITAL,9,"Director, Quality","$109,150",,"$27,736"
102,ESSENT-SHARON HOSPITAL,10,"Director, Facilities","$107,024",,"$27,196"
103,GREENWICH HOSPITAL,1,President & CEO,"$1,298,345","$224,938","$1,523,283"
104,GREENWICH HOSPITAL,2,Senior VP & CFO,"$545,638","$226,384","$772,022"
105,GREENWICH HOSPITAL,3,Executive VP & COO,"$519,125","$168,867","$687,992"
106,GREENWICH HOSPITAL,4,"Director, Pathology","$537,246","$57,063","$594,309"
107,GREENWICH HOSPITAL,5,Pathologist,"$522,751","$46,020","$568,771"
108,GREENWICH HOSPITAL,6,Pathologist,"$487,509","$56,421","$543,930"
109,GREENWICH HOSPITAL,7,SVP- Health System Development,"$391,542","$133,126","$524,668"
110,GREENWICH HOSPITAL,8,Chief Quality Officer,"$480,243","$33,158","$513,401"
111,GREENWICH HOSPITAL,9,Pathologist,"$453,324","$31,476","$484,800"
112,GREENWICH HOSPITAL,10,Pathologist,"$424,850","$8,420","$433,270"
113,GRIFFIN HOSPITAL,1,CHIEF EXECUTIVE OFFICER,,"$66,156","$499,284"
114,GRIFFIN HOSPITAL,2,"CHAIR, PREVENTATIVE MEDICINE",,"$28,762","$337,159"
115,GRIFFIN HOSPITAL,3,"CHIEF, DEPARTMENT OF PSYCHIATRY",,"$23,813","$320,377"
116,GRIFFIN HOSPITAL,4,STAFF PSYCHIATRIST,,"$76,047","$310,078"
117,GRIFFIN HOSPITAL,5,"PROGRAM DIRECTOR, PREVENTATIVE MEDICINE",,"$9,921","$282,169"
118,GRIFFIN HOSPITAL,6,"CHIEF, PULMONARY DISEASE",,"$47,152","$280,819"
119,GRIFFIN HOSPITAL,7,CHIEF FINANCIAL OFFICER,,"$11,227","$256,683"
120,GRIFFIN HOSPITAL,8,CHIEF MEDICAL DIRECTOR,,"$68,698","$244,481"
121,GRIFFIN HOSPITAL,9,VICE PRESIDENT ANCILLARY SERVICES,,"$39,481","$227,218"
122,GRIFFIN HOSPITAL,10,VICE PRESIDENT SUPPORT SERVICES,,"$49,995","$219,892"
123,HARTFORD HOSPITAL,1,"VP, Psychiatry","$572,123","$2,662,955","$3,235,078"
124,HARTFORD HOSPITAL,2,Executive VP and COO,"$876,716","$146,998","$1,023,714"
125,HARTFORD HOSPITAL,3,Executive VP and CFO,"$749,270","$130,550","$879,820"
126,HARTFORD HOSPITAL,4,SVP & Chief Medical Officer,"$674,497","$147,135","$821,632"
127,HARTFORD HOSPITAL,5,VP Behavioral Health,"$611,736","$135,837","$747,573"
128,HARTFORD HOSPITAL,6,Director of Surgery,"$640,227","$95,279","$735,506"
129,HARTFORD HOSPITAL,7,"VP, Academic Affairs","$690,304","$34,489","$724,793"
130,HARTFORD HOSPITAL,8,Director of Cardiology,"$548,050","$146,540","$694,590"
131,HARTFORD HOSPITAL,9,SVP & Chief Strategy Officer,"$551,905","$110,339","$662,244"
132,HARTFORD HOSPITAL,10,SVP & Treasurer,"$545,820","$101,376","$647,196"
133,JOHN DEMPSEY HOSPITAL,1,CEO,,"$555,962",
134,JOHN DEMPSEY HOSPITAL,2,ASSOCIATE PROFESSOR / CLINICAL/ER,,"$298,853",
135,JOHN DEMPSEY HOSPITAL,3,COO,,"$267,039",
136,JOHN DEMPSEY HOSPITAL,4,ASSISTANT PROFESSOR / CLINICAL / ER,,"$250,647",
137,JOHN DEMPSEY HOSPITAL,5,ASSOCIATE PROFESSOR / CLINICAL/ER,,"$242,260",
138,JOHN DEMPSEY HOSPITAL,6,ASSISTANT PROFESSOR / CLINICAL / ER,,"$241,916",
139,JOHN DEMPSEY HOSPITAL,7,ASSISTANT PROFESSOR / CLINICAL / ER,,"$238,304",
140,JOHN DEMPSEY HOSPITAL,8,ASSISTANT PROFESSOR / CLINICAL / ER,,"$218,909",
141,JOHN DEMPSEY HOSPITAL,9,ASSOCIATE VICE PRESIDENT / NURSING,,"$220,584",
142,JOHN DEMPSEY HOSPITAL,10,STAFF NURSE,,"$166,288",
143,JOHNSON MEMORIAL HOSPITAL,1,President,,"$440,003",
144,JOHNSON MEMORIAL HOSPITAL,2,Cheif Financial Officer,,"$274,997",
145,JOHNSON MEMORIAL HOSPITAL,3,Vice President - Patient Care Svcs.,,"$175,011",
146,JOHNSON MEMORIAL HOSPITAL,4,RN - ICU,,"$146,909",
147,JOHNSON MEMORIAL HOSPITAL,5,RN - Emergency Room,,"$121,933",
148,JOHNSON MEMORIAL HOSPITAL,6,Corporate Controller,,"$120,640",
149,JOHNSON MEMORIAL HOSPITAL,7,RN - OB,,"$118,445",
150,JOHNSON MEMORIAL HOSPITAL,8,"Director, Perioperative Services",,"$117,918",
151,JOHNSON MEMORIAL HOSPITAL,9,RN - Nursing Administration,,"$115,637",
152,JOHNSON MEMORIAL HOSPITAL,10,RN - Med/Surg Unit,,"$115,036",
153,LAWRENCE AND MEMORIAL HOSPITAL,1,"President, CEO","$648,353",,"$46,423"
154,LAWRENCE AND MEMORIAL HOSPITAL,2,Chief Operating Officer,"$416,292",,"$40,275"
155,LAWRENCE AND MEMORIAL HOSPITAL,3,"Vice President, CFO","$338,938",,"$36,905"
156,LAWRENCE AND MEMORIAL HOSPITAL,4,Vice Pres. of Strategic Planning,"$267,300",,"$34,158"
157,LAWRENCE AND MEMORIAL HOSPITAL,5,Chief Legal Officer,"$257,476",,"$34,037"
158,LAWRENCE AND MEMORIAL HOSPITAL,6,"Vice President, Patient Care","$244,045",,"$24,007"
159,LAWRENCE AND MEMORIAL HOSPITAL,7,Chief Information Officer,"$224,112",,"$39,370"
160,LAWRENCE AND MEMORIAL HOSPITAL,8,Medical Director,"$237,761",,"$23,139"
161,LAWRENCE AND MEMORIAL HOSPITAL,9,"Vice President, Physician Practice Mngt","$226,671",,"$32,420"
162,LAWRENCE AND MEMORIAL HOSPITAL,10,"Vice President, Development","$194,338",,"$33,551"
163,MANCHESTER MEMORIAL HOSPITAL,1,CEO,,"$518,718",
164,MANCHESTER MEMORIAL HOSPITAL,2,Emergency Room MD,,"$372,112",
165,MANCHESTER MEMORIAL HOSPITAL,3,Emergency Room MD,,"$346,071",
166,MANCHESTER MEMORIAL HOSPITAL,4,Emergency Room MD,,"$337,492",
167,MANCHESTER MEMORIAL HOSPITAL,5,Emergency Room MD,,"$334,786",
168,MANCHESTER MEMORIAL HOSPITAL,6,Medical Director ED,,"$324,008",
169,MANCHESTER MEMORIAL HOSPITAL,7,Emergency Room MD,,"$321,718",
170,MANCHESTER MEMORIAL HOSPITAL,8,Emergency Room MD,,"$314,119",
171,MANCHESTER MEMORIAL HOSPITAL,9,Treasurer/Exec VP,,"$314,116",
172,MANCHESTER MEMORIAL HOSPITAL,10,Senior VP of Medical Affairs,,"$288,103",
173,MIDDLESEX HOSPITAL,1,President/CEO,"$581,391","$466,136","$1,047,527"
174,MIDDLESEX HOSPITAL,2,"Vp, Clinical Affairs","$395,424","$316,893","$712,317"
175,MIDDLESEX HOSPITAL,3,"VP, Quality and Patient Safety","$352,899","$162,057","$514,956"
176,MIDDLESEX HOSPITAL,4,"VP, Finance/CFO/Treasurer","$341,286","$150,167","$491,453"
177,MIDDLESEX HOSPITAL,5,"VP, Human Resources","$285,464","$200,535","$485,999"
178,MIDDLESEX HOSPITAL,6,"Chairman, Emergency Medicine","$372,659","$84,913","$457,572"
179,MIDDLESEX HOSPITAL,7,"Physician, Emergency Dept","$373,802","$64,992","$438,794"
180,MIDDLESEX HOSPITAL,8,"Sr VP, Strategic Planning & Operations","$281,393","$117,478","$398,871"
181,MIDDLESEX HOSPITAL,9,"Chief, Dept of Medicine & Secretary","$331,799","$63,905","$395,704"
182,MIDDLESEX HOSPITAL,10,Clinical Director of Infectious Disease,"$337,672","$55,524","$393,196"
183,MIDSTATE MEDICAL CENTER,1,President and CEO,"$691,509","$251,709","$943,218"
184,MIDSTATE MEDICAL CENTER,2,Chief Medical Officer,"$394,734","$143,683","$538,417"
185,MIDSTATE MEDICAL CENTER,3,Hospitalist,"$330,082","$120,150","$450,232"
186,MIDSTATE MEDICAL CENTER,4,Vice President Operations,"$306,967","$111,736","$418,703"
187,MIDSTATE MEDICAL CENTER,5,Hospitalist,"$281,463","$102,453","$383,916"
188,MIDSTATE MEDICAL CENTER,6,Hospitalist,"$273,425","$99,527","$372,952"
189,MIDSTATE MEDICAL CENTER,7,Hospitalist,"$268,117","$97,595","$365,712"
190,MIDSTATE MEDICAL CENTER,8,Hospitalist,"$263,225","$95,814","$359,039"
191,MIDSTATE MEDICAL CENTER,9,Hospitalist,"$255,413","$92,970","$348,383"
192,MIDSTATE MEDICAL CENTER,10,Hospitalist,"$254,957","$92,804","$347,761"
193,MILFORD HOSPITAL,1,President,"$473,513","$122,935","$596,448"
194,MILFORD HOSPITAL,2,PHYSICIAN CHIEF OPERATING OFFICER,"$430,485","$126,257","$556,742"
195,MILFORD HOSPITAL,3,E.R. Physician,"$335,659","$37,385","$373,044"
196,MILFORD HOSPITAL,4,Hospitalist,"$326,182","$37,248","$363,430"
197,MILFORD HOSPITAL,5,E.R. Physician,"$322,161","$37,189","$359,350"
198,MILFORD HOSPITAL,6,Pathologist,"$307,720","$36,980","$344,700"
199,MILFORD HOSPITAL,7,E.R. Physician,"$301,909","$37,346","$339,255"
200,MILFORD HOSPITAL,8,E.R. Physician,"$302,199","$36,900","$339,099"
201,MILFORD HOSPITAL,9,E.R. Physician,"$319,246","$16,468","$335,714"
202,MILFORD HOSPITAL,10,E.R. Physician,"$300,239","$34,970","$335,209"
203,NEW MILFORD HOSPITAL,1,VP OPERATIONS,,"$360,853",
204,NEW MILFORD HOSPITAL,2,CHIEF MEDICAL PHYSICIST,,"$204,883",
205,NEW MILFORD HOSPITAL,3,CEO,,"$204,504",
206,NEW MILFORD HOSPITAL,4,DIR NURSING,,"$169,233",
207,NEW MILFORD HOSPITAL,5,DIR MEDICAL AFFAIRS & QUALITY,,"$155,961",
208,NEW MILFORD HOSPITAL,6,DIR FINANCE,,"$154,684",
209,NEW MILFORD HOSPITAL,7,DIR PATIENT EXPERIENCE,,"$147,503",
210,NEW MILFORD HOSPITAL,8,DIR EMPLOYEE HEALTH SER,,"$149,389",
211,NEW MILFORD HOSPITAL,9,CONTROLLER,,"$150,346",
212,NEW MILFORD HOSPITAL,10,MGR PHARMACY OPERATIONS,,"$134,822",
213,NORWALK HOSPITAL,1,President & CEO,"$966,539",,"$84,391"
214,NORWALK HOSPITAL,2,"Physician, Emergeny Department","$538,457",,"$88,091"
215,NORWALK HOSPITAL,3,VP & Chief Financial Officer,"$544,825",,"$65,244"
216,NORWALK HOSPITAL,4,"Chairman, Dept. of Emergency Medicine","$485,452",,"$83,525"
217,NORWALK HOSPITAL,5,Sr. VP & COO,"$492,612",,"$67,437"
218,NORWALK HOSPITAL,6,"Physician, Emergency Department","$399,378",,"$76,476"
219,NORWALK HOSPITAL,7,VP Human Resources,"$398,514",,"$73,535"
220,NORWALK HOSPITAL,8,"Chairman, Psychiatry","$385,075",,"$69,152"
221,NORWALK HOSPITAL,9,"Physician, Emergency Department","$352,913",,"$67,853"
222,NORWALK HOSPITAL,10,"Physician, Emergeny Department","$367,002",,"$44,004"
223,ROCKVILLE GENERAL HOSPITAL,1,Medical Director,,"$335,768",
224,ROCKVILLE GENERAL HOSPITAL,2,CEO,,"$222,308",
225,ROCKVILLE GENERAL HOSPITAL,3,Urgent Care MD,,"$221,545",
226,ROCKVILLE GENERAL HOSPITAL,4,Medical Director,,"$221,340",
227,ROCKVILLE GENERAL HOSPITAL,5,Psychiatrist,,"$210,645",
228,ROCKVILLE GENERAL HOSPITAL,6,Urgent Care MD,,"$184,148",
229,ROCKVILLE GENERAL HOSPITAL,7,VP Patient Care Services,,"$168,849",
230,ROCKVILLE GENERAL HOSPITAL,8,RN Supervisor,,"$144,695",
231,ROCKVILLE GENERAL HOSPITAL,9,RN Supervisor,,"$144,430",
232,ROCKVILLE GENERAL HOSPITAL,10,Medical Director,,"$138,861",
233,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,1,President,,"$1,530,915","$166,503"
234,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,2,Executive Vice President and COO,,"$803,801","$95,174"
235,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,3,"Executive Vice President, Chief Administrative Off",,"$752,050","$91,375"
236,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,4,Executive Vice President and CPO,,"$732,979","$90,192"
237,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,5,Department Chairman - Surgery,,"$593,541","$73,523"
238,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,6,"Senior Vice President, Chief Academic Officer",,"$461,408","$61,295"
239,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,7,"Senior Vice President, Chief Development Officer",,"$429,038","$58,321"
240,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,8,Senior Vice President - Nursing,,"$388,007","$53,169"
241,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,9,Senior Vice President - Planning,,"$354,872","$57,181"
242,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,10,"Vice Presidnet, Finance",,"$333,193","$47,797"
243,SAINT MARY`S HOSPITAL,1,President & CEO,"$621,093","$232,419","$853,512"
244,SAINT MARY`S HOSPITAL,2,Vice President & CNO,"$275,651","$62,978","$338,629"
245,SAINT MARY`S HOSPITAL,3,Vice President Operations,"$276,911","$48,171","$325,082"
246,SAINT MARY`S HOSPITAL,4,Vice President Human Resources,"$235,065","$45,311","$280,376"
247,SAINT MARY`S HOSPITAL,5,Chairman Dept of Medicine,"$250,000","$25,582","$275,582"
248,SAINT MARY`S HOSPITAL,6,Vice President and CFO,"$234,444","$32,443","$266,887"
249,SAINT MARY`S HOSPITAL,7,Vice President & CNO Former,"$221,871","$43,140","$265,011"
250,SAINT MARY`S HOSPITAL,8,Vice President & Chief Medical Officer,"$245,516",$0,"$245,516"
251,SAINT MARY`S HOSPITAL,9,Chief Marketing Officer,"$200,310","$39,815","$240,125"
252,SAINT MARY`S HOSPITAL,10,Chief Information Officer,"$215,418","$13,106","$228,524"
253,SAINT VINCENT`S MEDICAL CENTER,1,FORMER CHIEF EXECUTIVE OFFICER,"$632,434","$1,110,833",
254,SAINT VINCENT`S MEDICAL CENTER,2,PRESIDENT/CHIEF EXECUTIVE OFFICER,"$357,937","$984,669",
255,SAINT VINCENT`S MEDICAL CENTER,3,SENIOR VP/CHIEF MEDICAL OFFICER,"$313,047","$910,454",
256,SAINT VINCENT`S MEDICAL CENTER,4,CLINICAL VICE PRESIDENT SURGICAL SERVICES,"$298,765","$894,493",
257,SAINT VINCENT`S MEDICAL CENTER,5,SENIOR VICE PRESIDENT/CHIEF FINANCIAL OFFICER,"$242,807","$673,021",
258,SAINT VINCENT`S MEDICAL CENTER,6,CLINICAL VICE PRESIDENT MEDICINE,"$203,930","$643,993",
259,SAINT VINCENT`S MEDICAL CENTER,7,VICE PRESIDENT/CHIEF LEGAL COUNSEL,"$164,638","$513,004",
260,SAINT VINCENT`S MEDICAL CENTER,8,SR VP/CHIEF NURSING OFF/CHIEF OPERATING OFFICER,"$170,756","$482,467",
261,SAINT VINCENT`S MEDICAL CENTER,9,SR VP/CHIEF HUMAN RESOURCES OFFICER,"$172,920","$454,673",
262,SAINT VINCENT`S MEDICAL CENTER,10,SENIOR VP CORPORATE AFFAIRS,"$80,837","$354,899",
263,STAMFORD HOSPITAL,1,President & CEO,"$969,034","$1,253,520","$2,222,554"
264,STAMFORD HOSPITAL,2,Chief of Cardiac Surgery,"$770,265","$226,574","$996,839"
265,STAMFORD HOSPITAL,3,VP of Physician Network Development,"$508,616","$364,401","$873,017"
266,STAMFORD HOSPITAL,4,VP of Finance & Chief Financial Officer,"$557,302","$259,385","$816,687"
267,STAMFORD HOSPITAL,5,Exec. VP and Chief Operating Officer,"$593,071","$214,033","$807,104"
268,STAMFORD HOSPITAL,6,Sr. VP of Medical Services,"$523,775","$255,614","$779,389"
269,STAMFORD HOSPITAL,7,"Chair, Dept of Obstetrics","$539,515","$134,082","$673,597"
270,STAMFORD HOSPITAL,8,Sr. VP of Strategy & Marketing,"$428,424","$220,976","$649,400"
271,STAMFORD HOSPITAL,9,Chief of Cardiology,"$570,807","$48,394","$619,201"
272,STAMFORD HOSPITAL,10,Chief of Bariatric Surguery,"$576,591","$39,463","$616,054"
273,THE HOSPITAL OF CENTRAL CONNECTICUT,1,President and CEO,"$786,037","$213,317","$999,354"
274,THE HOSPITAL OF CENTRAL CONNECTICUT,2,Executive Vice President and CMO,"$681,651","$167,528","$849,179"
275,THE HOSPITAL OF CENTRAL CONNECTICUT,3,Chief ER Physician,"$541,076","$122,398","$663,474"
276,THE HOSPITAL OF CENTRAL CONNECTICUT,4,Director Surgical Oncology,"$504,815","$140,306","$645,121"
277,THE HOSPITAL OF CENTRAL CONNECTICUT,5,Vice President Human Resources,"$577,684","$66,761","$644,445"
278,THE HOSPITAL OF CENTRAL CONNECTICUT,6,Hospitalist,"$550,374","$48,354","$598,728"
279,THE HOSPITAL OF CENTRAL CONNECTICUT,7,Chief of Medicine,"$474,418","$81,047","$555,465"
280,THE HOSPITAL OF CENTRAL CONNECTICUT,8,Neurosurgeon,"$515,384","$26,834","$542,218"
281,THE HOSPITAL OF CENTRAL CONNECTICUT,9,Chief of Psychiatry,"$385,252","$113,310","$498,562"
282,THE HOSPITAL OF CENTRAL CONNECTICUT,10,Chief of Cardiology,"$425,110","$38,065","$463,175"
283,WATERBURY HOSPITAL,1,President,,"$620,722",
284,WATERBURY HOSPITAL,2,Chief Information Officer,,"$304,166",
285,WATERBURY HOSPITAL,3,VP Patient Care/CNO,,"$217,928",
286,WATERBURY HOSPITAL,4,VP Human Resources,,"$212,702",
287,WATERBURY HOSPITAL,5,Medical DIrector Inpatient Behavioral Health,,"$211,131",
288,WATERBURY HOSPITAL,6,Chief Medicaid Information Officer,,"$203,253",
289,WATERBURY HOSPITAL,7,Psychiatrist,,"$162,824",
290,WATERBURY HOSPITAL,8,Vice President Operations,,"$156,698",
291,WATERBURY HOSPITAL,9,Staff Pharmacist,,"$153,351",
292,WATERBURY HOSPITAL,10,VP Medical Services,,"$149,064",
293,WILLIAM W. BACKUS HOSPITAL,1,Regional President,"$696,769","$161,911","$858,680"
294,WILLIAM W. BACKUS HOSPITAL,2,"Regional VP, Finance","$461,654","$137,202","$598,856"
295,WILLIAM W. BACKUS HOSPITAL,3,Medical Affairs Regional VP,"$459,000","$118,237","$577,237"
296,WILLIAM W. BACKUS HOSPITAL,4,Backus Physician Services MD,"$510,059","$48,041","$558,100"
297,WILLIAM W. BACKUS HOSPITAL,5,Backus Physician Services MD,"$504,365","$46,752","$551,117"
298,WILLIAM W. BACKUS HOSPITAL,6,"Chief, Emergency Services","$438,928","$56,677","$495,605"
299,WILLIAM W. BACKUS HOSPITAL,7,E.R. Physician,"$367,497","$47,212","$414,709"
300,WILLIAM W. BACKUS HOSPITAL,8,E.R. Physician,"$357,260","$57,193","$414,453"
301,WILLIAM W. BACKUS HOSPITAL,9,E.R. Physician,"$360,960","$44,675","$405,635"
302,WILLIAM W. BACKUS HOSPITAL,10,E.R. Physician,"$360,556","$35,567","$396,123"
303,WINDHAM COMMUNITY MEMORIAL HOSPITAL,1,Hospitalist,"$335,213","$101,751","$436,964"
304,WINDHAM COMMUNITY MEMORIAL HOSPITAL,2,Vice-President Human Resources,"$268,123","$81,386","$349,509"
305,WINDHAM COMMUNITY MEMORIAL HOSPITAL,3,Hospitalist,"$245,840","$74,622","$320,462"
306,WINDHAM COMMUNITY MEMORIAL HOSPITAL,4,Hospitalist,"$234,495","$71,179","$305,674"
307,WINDHAM COMMUNITY MEMORIAL HOSPITAL,5,Hospitalist,"$231,559","$70,287","$301,846"
308,WINDHAM COMMUNITY MEMORIAL HOSPITAL,6,Hospitalist,"$221,675","$67,287","$288,962"
309,WINDHAM COMMUNITY MEMORIAL HOSPITAL,7,Hospitalist,"$206,913","$62,806","$269,719"
310,WINDHAM COMMUNITY MEMORIAL HOSPITAL,8,Vice-President Operations,"$201,981","$61,309","$263,290"
311,WINDHAM COMMUNITY MEMORIAL HOSPITAL,9,VIce-President Patient Care,"$195,884","$59,459","$255,343"
312,WINDHAM COMMUNITY MEMORIAL HOSPITAL,10,IT Director,"$190,678","$57,879","$248,557"
313,YALE-NEW HAVEN HOSPITAL,1,President & CEO(repr YNHH & YNHHS),"$2,511,717","$752,041","$3,263,758"
314,YALE-NEW HAVEN HOSPITAL,2,"Exec VP, COO(repr YNHH & YNHHS)","$1,502,352","$440,336","$1,942,688"
315,YALE-NEW HAVEN HOSPITAL,3,"SR VP Finance, CFO(repr YNHH & YNHHS)","$1,214,946","$382,265","$1,597,211"
316,YALE-NEW HAVEN HOSPITAL,4,"SR VP, Chief of Staff(repr YNHH & YNHHS)","$1,402,687","$79,436","$1,482,123"
