row,Hospital,year1,year2,year3,year4,
79,Staffed Beds,188,199,202,202,
80,Available Beds,170,184,233,233,
81,Licensed Beds,233,233,233,233,
82,Occupancy of staffed beds,72%,69%,69%,68%,
83,Occupancy of available beds,76%,73%,59%,59%,
84,Full Time Equivalent Employees,"1,367.0","1,429.8","1,503.2","1,583.5",20
86,KEY RESULTS - WILLIAM W. BACKUS HOSPITAL,,,,,
88,DISCHARGES,2006,2007,2008,2009,
89,Non-Government (Including Uninsured),"4,917","4,948","4,720","4,461",
90,Medicare,"4,698","5,033","5,048","5,039",
91,Medical Assistance,"1,733","1,830","1,908","2,148",
92,Medicaid,"1,406","1,497","1,459","1,764",
93,Other Medical Assistance,327,333,449,384,
94,Champus / TRICARE,267,265,264,237,
95,Uninsured (Included in Non-Government),337,351,350,265,
96,Total Discharges,"11,615","12,076","11,940","11,885",
97,CASE MIX INDEX,,,,,
98,Non-Government (Including Uninsured),1.1024,1.1638,1.3637,1.3151,
99,Medicare,1.3137,1.3131,1.4054,1.459,
100,Medical Assistance,0.8648,0.8435,1.0556,0.9619,
101,Medicaid,0.7788,0.7933,1.0184,0.8944,
102,Other Medical Assistance,1.2346,1.0691,1.1766,1.2721,
103,Champus / TRICARE,0.7473,0.7365,1.044,0.9408,
104,Uninsured (Included in Non-Government),1.0289,1.125,1.135,1.1848,
105,Total Case Mix Index,1.1443,1.1681,1.325,1.3048,
106,UNCOMPENSATED CARE,,,,,
107,Charity Care,"$3,298,525","$3,473,395","$6,296,582","$6,641,717",
108,Bad Debts,"$10,303,747","$12,419,674","$14,350,680","$17,093,520",
109,Total Uncompensated Care Charges,"$13,602,272","$15,893,069","$20,647,262","$23,735,237",
110,Uncompensated Care Cost,"$6,518,570","$7,260,956","$9,061,214","$10,540,405",
111,Uncompensated care % of total expenses,3.6%,3.6%,4.0%,4.2%,
112,EMERGENCY DEPARTMENT VISITS,,,,,
113,Emergency Room - Treated and Admitted,"6,263","7,031","6,561","6,343",
114,Emergency Room - Treated and Discharged,"43,603","47,967","52,432","57,305",
115,Total Emergency Room Visits,"49,866","54,998","58,993","63,648",
117,21,,,,,
119,BRIDGEPORT HOSPITAL,,,,,
121,"Bridgeport Hospital, founded in 1878, is located in Bridgeport.   In FY 2009, the Hospital",,,,,
122,generated $4.7 million in income from operations and experienced a $3.1 million non-operating,,,,,
123,"loss, resulting in an excess of revenues over expenses of $1.6 million.  The Hospital reported",,,,,
124,"19,808 discharges and 103,601 patient days while staffing 288 of its 377 available beds.  Reported",,,,,
125,"below is a chart indicating all of the affiliates of Bridgeport Hospital and Healthcare Services,",,,,,
126,"Incorporated, the parent corporation of the Hospital and an affiliate of the larger Yale-New Haven",,,,,
127,"Health Services Corporation which includes Greenwich Hospital and Yale New Haven Hospital,",,,,,
128,followed by various financial indicators and selected utilization measures.,,,,,
131,YNHH - Physicians Corp,HEALTH SERVICES,Program Development,,,
134,Yale New Haven,Bridgeport Hospital,,,,
135,Network Corp,"YNHH-MSO,Inc.",and Healthcare,Greenwich Health,,
137,(Parent),,"Services, Inc.",,,
141,Bridgeport Hospital,,,Mill Hill Medical,SCHS,
143,"Foundation, Inc",,,Consultants,"Properties, Inc.",
150,Hospital Gross Revenue Payer Mix,,,Hospital Net Revenue Payer Mix,,
152,Medicaid,4%,Medicaid,,Uninsured,
153,21%,,16%,,,
156,Medical,,Assistance,,,
158,Assistance,,2%,,,
159,4%,Government,,,Non-,
162,Medicare,,,,,
164,39%,,,,,
165,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,,2006,2007,2008,2009
166,Net Patient Revenue,,"$284,129,000","$297,562,000","$326,474,000","$349,484,000"
167,Other Operating Revenue,,"$6,093,000","$8,904,000","$11,032,000","$6,311,000"
168,Total Operating Revenue,,"$290,222,000","$306,466,000","$337,506,000","$355,795,000"
169,Total Operating Expenses,,"$285,942,000","$303,901,000","$333,509,000","$351,055,000"
170,Income/(Loss) from Operations,,"$4,280,000","$2,565,000","$3,997,000","$4,740,000"
171,Non Operating Revenue,,"$7,833,000","$5,154,000","-$5,238,000","-$3,150,000"
172,Excess/(Deficiency) of Revenue over Expenses,,"$12,113,000","$7,719,000","-$1,241,000","$1,590,000"
173,*Source: Hospital Audited Financial Statements,,,,,22
177,PROFITABILITY SUMMARY,2006,2007,2008,2009,
178,Hospital Operating Margins,1.44%,0.82%,1.20%,1.34%,
179,Hospital Non Operating Margins,2.63%,1.65%,-1.58%,-0.89%,
180,Hospital Total Margins,4.06%,2.48%,-0.37%,0.45%,
181,COST DATA SUMMARY,,,,,
182,Ratio of cost to charges,0.35,0.32,0.32,0.32,
183,Private Payment to Cost Ratio,1.20,1.24,1.17,1.22,
184,Medicare Payment to Cost Ratio,1.10,1.06,1.04,1.02,
185,Medicaid Payment to Cost Ratio,0.71,0.71,0.81,0.77,
186,LIQUIDITY MEASURES SUMMARY,,,,,
187,Current Ratio,1.67,1.47,1.48,1.63,
188,Days cash on hand,45,38,27,36,
189,Days in patients accounts receivable,35,37,43,36,
190,Average Payment Period,58,59,56,51,
191,SOLVENCY MEASURES SUMMARY,,,,,
192,Equity financing ratio,47.5,51.5,51.5,32.0,
193,Cash flow to total debt ratio,27.2,21.3,15.7,21.3,
194,Long-term debt to Capitalization Ratio,32.0,27.4,26.2,36.1,
195,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
196,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
197,NET ASSETS SUMMARY,,,,,
198,Hospital Unrestricted Net Assets,"$85,720,000","$101,094,000","$108,789,000","$49,998,000",
199,Hospital Total Net Assets,"$125,463,000","$147,184,000","$148,597,000","$88,852,000",
200,UTILIZATION MEASURES SUMMARY,,,,,
201,Patient Days,"102,714","104,291","106,845","103,601",
202,Discharges,"19,580","19,675","20,022","19,808",
203,ALOS,5.2,5.3,5.3,5.2,
204,Staffed Beds,334,335,302,288,
205,Available Beds,354,360,389,377,
206,Licensed Beds,425,425,425,425,
207,Occupancy of staffed beds,84%,85%,97%,99%,
208,Occupancy of available beds,78%,78%,75%,75%,
209,23,Full Time Equivalent Employees,"1,929.0","2,007.8","2,079.8","2,039.5"
211,KEY RESULTS - BRIDGEPORT HOSPITAL,,,,,
213,DISCHARGES,2006,2007,2008,2009,
214,Non-Government (Including Uninsured),"7,976","7,449","7,478","7,016",
215,Medicare,"6,725","7,016","7,096","7,107",
216,Medical Assistance,"4,854","5,179","5,415","5,662",
217,Medicaid,"4,349","4,577","4,759","4,962",
218,Other Medical Assistance,505,602,656,700,
219,Champus / TRICARE,25,31,33,23,
220,Uninsured (Included in Non-Government),464,448,375,398,
221,Total Discharges,"19,580","19,675","20,022","19,808",
222,CASE MIX INDEX,,,,,
223,Non-Government (Including Uninsured),1.1533,1.1207,1.1698,1.1372,
224,Medicare,1.694,1.6306,1.6122,1.6425,
225,Medical Assistance,0.9374,0.9426,0.9563,0.9558,
226,Medicaid,0.8916,0.8899,0.9283,0.9616,
227,Other Medical Assistance,1.3318,1.343,1.1599,0.9147,
228,Champus / TRICARE,0.9134,1.1653,1.1164,1.428,
229,Uninsured (Included in Non-Government),1.2995,1.2849,1.2743,1.2157,
230,Total Case Mix Index,1.2852,1.2557,1.2688,1.267,
231,UNCOMPENSATED CARE,,,,,
232,Charity Care,"$9,539,856","$10,897,000","$11,818,000","$15,999,852",
233,Bad Debts,"$22,086,176","$26,581,552","$32,166,000","$32,293,223",
234,Total Uncompensated Care Charges,"$31,626,032","$37,478,552","$43,984,000","$48,293,075",
235,Uncompensated Care Cost,"$11,167,718","$11,959,917","$14,002,199","$15,245,620",
236,Uncompensated care % of total expenses,4.0%,4.0%,4.2%,4.3%,
237,EMERGENCY DEPARTMENT VISITS,,,,,
238,Emergency Room - Treated and Admitted,"8,894","9,556","10,058","10,610",
239,Emergency Room - Treated and Discharged,"55,740","57,987","56,580","66,812",
240,Total Emergency Room Visits,"64,634","67,543","66,638","77,422",
242,24,,,,,
244,BRISTOL HOSPITAL,,,,,
246,"Bristol Hospital, founded in 1921, is located in Bristol.   In FY 2009, the Hospital generated",,,,,
247,"$50,000 in income from operations and had a $324,000 non-operating gain, resulting in an excess",,,,,
248,"of revenues over expenses of $374,000.  The Hospital reported 7,846 discharges and 33,658",,,,,
249,patient days while staffing 132 of its 154 available beds. Reported below is a chart indicating all of,,,,,
250,"the affiliates of Bristol Hospital and Health Care Group, the parent corporation of the Hospital,",,,,,
251,followed by various financial indicators and selected utilization measures.,,,,,
253,BRISTOL HOSPITAL,,,,,
254,& HEALTH CARE,,,,,
255,GROUP,,,,,
257,Bristol Hospital,,,,,
258,Bristol Health,"Bristol Health Care,",Development,,,
259,"Services, Inc.",Inc.,"Foundation, Inc.","Bristol Hospital, Inc.",,
260,(Long Term Care),(Fund Raising &,,,,
263,Bristol Hospital,Central Connecticut,Collaborative,,MedConn,
264,"EMS, LLC",Medical Management,Laboratory,Med-Works LLC,Collection,"Bristol MSO, LLC"
265,(Other Health Care,,,-49%,,-50%
266,Services),(Managed Services Org.),"Services, LLC",,"Agency,  LLC",
268,Greater Bristol,Bristol,CT Occup,Total Laundry,Central CT,Health
269,Primary Care,"Med-Help, P.C.","Psychiatrics, P.C.",Medical Partners,Collaborative,Endoscopy
270,"Group, P.C.",,-33%,-16.3%,Center (6.5%),-4.5%
277,Medical,2%,Medical,,,
279,Assistance,,Assistance,,,
280,4%,,2%,,,
283,Medicare,40%,Medicare,,Government,
284,44%,,39%,,51%,
286,Net Patient Revenue,,"$105,165,230","$114,164,519","$119,290,195","$124,989,832"
287,Other Operating Revenue,,"$5,121,798","$4,581,688","$6,592,514","$4,717,358"
288,Total Operating Revenue,,"$110,287,028","$118,746,207","$125,882,709","$129,707,190"
289,Total Operating Expenses,,"$119,727,760","$122,064,635","$125,713,012","$129,657,399"
291,Non Operating Revenue,,"$581,848","$10,737,106","-$1,155,433","$323,607"
293,25,*Source: Hospital Audited Financial Statements,,,,
295,KEY RESULTS - BRISTOL HOSPITAL,,,,,
297,PROFITABILITY SUMMARY,2006,2007,2008,2009,
298,Hospital Operating Margins,-8.52%,-2.56%,0.14%,0.04%,
299,Hospital Non Operating Margins,0.52%,8.29%,-0.93%,0.25%,
300,Hospital Total Margins,-7.99%,5.73%,-0.79%,0.29%,
301,COST DATA SUMMARY,,,,,
302,Ratio of cost to charges,0.39,0.33,0.33,0.36,
303,Private Payment to Cost Ratio,1.06,1.10,1.18,1.18,
304,Medicare Payment to Cost Ratio,0.88,0.92,0.91,0.81,
305,Medicaid Payment to Cost Ratio,0.76,0.87,0.84,0.75,
306,LIQUIDITY MEASURES SUMMARY,,,,,
307,Current Ratio,1.11,1.09,1.14,1.25,
308,Days cash on hand,4,4,10,20,
309,Days in patients accounts receivable,52,53,49,45,
310,Average Payment Period,60,74,70,68,
311,SOLVENCY MEASURES SUMMARY,,,,,
312,Equity financing ratio,28.9,39.7,29.0,7.7,
313,Cash flow to total debt ratio,-6.2,25.4,9.4,11.5,
314,Long-term debt to Capitalization Ratio,51.5,41.9,51.7,79.1,
315,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
316,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
317,NET ASSETS SUMMARY,,,,,
318,Hospital Unrestricted Net Assets,"$18,860,668","$31,129,463","$18,132,104","-$255,398",
319,Hospital Total Net Assets,"$26,362,639","$41,084,073","$26,424,439","$7,239,260",
320,UTILIZATION MEASURES SUMMARY,,,,,
321,Patient Days,"34,206","33,663","33,258","33,658",
322,Discharges,"8,054","8,064","8,016","7,846",
323,ALOS,4.2,4.2,4.1,4.3,
324,Staffed Beds,154,115,115,132,
325,Available Beds,154,154,154,154,
326,Licensed Beds,154,154,154,154,
327,Occupancy of staffed beds,61%,80%,79%,70%,
328,Occupancy of available beds,61%,60%,59%,60%,
329,Full Time Equivalent Employees,884.0,876.5,905.1,899.4,26
331,KEY RESULTS - BRISTOL HOSPITAL,,,,,
333,DISCHARGES,2006,2007,2008,2009,
334,Non-Government (Including Uninsured),"3,080","3,046","2,879","2,731",
335,Medicare,"3,596","3,589","3,640","3,597",
336,Medical Assistance,"1,365","1,412","1,486","1,507",
337,Medicaid,"1,063","1,049","1,106","1,084",
338,Other Medical Assistance,302,363,380,423,
339,Champus / TRICARE,13,17,11,11,
340,Uninsured (Included in Non-Government),135,79,80,43,
341,Total Discharges,"8,054","8,064","8,016","7,846",
342,CASE MIX INDEX,,,,,
343,Non-Government (Including Uninsured),0.8925,0.8927,0.9693,0.9559,
344,Medicare,1.2606,1.2507,1.2802,1.3004,
345,Medical Assistance,0.7362,0.8193,0.8089,0.8292,
346,Medicaid,0.727,0.8044,0.7747,0.8029,
347,Other Medical Assistance,0.7686,0.8624,0.9085,0.8966,
348,Champus / TRICARE,0.552,0.7279,1.6674,1.054,
349,Uninsured (Included in Non-Government),0.8243,0.9158,0.9295,0.9646,
350,Total Case Mix Index,1.0298,1.0388,1.0817,1.0896,
351,UNCOMPENSATED CARE,,,,,
352,Charity Care,"$938,224","$1,253,957","$929,468","$558,883",
353,Bad Debts,"$7,049,775","$10,522,424","$10,951,622","$9,166,346",
354,Total Uncompensated Care Charges,"$7,987,999","$11,776,381","$11,881,090","$9,725,229",
355,Uncompensated Care Cost,"$3,154,274","$3,929,667","$3,891,013","$3,471,915",
356,Uncompensated care % of total expenses,2.9%,3.5%,3.4%,2.7%,
357,EMERGENCY DEPARTMENT VISITS,,,,,
358,Emergency Room - Treated and Admitted,"5,476","5,667","5,723","5,501",
359,Emergency Room - Treated and Discharged,"31,921","33,859","34,410","33,551",
360,Total Emergency Room Visits,"37,397","39,526","40,133","39,052",
362,27,,,,,
364,CONNECTICUT CHILDREN’S MEDICAL CENTER,,,,,
366,Connecticut Children’s Medical Center (CCMC) began operating in 1996 as the successor to the,,,,,
367,"Newington Children’s Hospital.  In FY 2009, the Hospital generated $7.9 million in income from",,,,,
368,"operations and had a $2.9 million non-operating gain, resulting in an excess of revenues over expenses",,,,,
369,"of $10.8 million.  The Hospital reported 6,359 discharges and 35,911 patient days while staffing 142",,,,,
370,of its 142 available beds.  Reported below is a chart indicating all of the affiliates of CCMC,,,,,
371,"Corporation, Incorporated, the parent corporation of the Hospital, followed by various financial",,,,,
372,indicators and selected utilization measures.,,,,,
374,CCMC,,,,,
375,"CORPORATION,",,,,,
376,INC.,,,,,
378,Connecticut Children's,,,,,
379,Connecticut Children's,Medical Center,"CCMC Affiliates, Inc.",CCMC Ventures,,
380,Medical Center,Foundation,(Other Health Care Services),(Health & Education,,
384,The Children’s Fund of,CCMC Faculty,,,,
385,Connecticut,Practice Plan (d/b/a CT,,,,
386,(Foundation),Children’s Specialty Group),,,,
388,For Profit Entity,,,,,
390,Child Health and,,,,,
391,Development Institute,,,,,
392,of Connecticut,,,,,
394,Hospital Gross Revenue Payer Mix,Hospital Net Revenue Payer Mix,,,,
396,Medicaid,Uninsured,37%,,,
397,49%,Uninsured,,,,
398,1%,,,,,
399,1%,,,,,
400,Medical,,,,,
401,Non-,Assistance,,,,
402,Government,,,,,
403,0%,,,,,
405,Medical,,,,Government,
407,Assistance,Medicare,,,60%,
409,0%,0%,,,,
410,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,,2006,2007,2008,2009
411,Net Patient Revenue,,"$110,657,623","$140,951,196","$173,156,229","$178,476,453"
412,Other Operating Revenue,,"$13,156,350","$13,649,071","$14,216,438","$14,938,808"
413,Total Operating Revenue,,"$123,813,973","$154,600,267","$187,372,667","$193,415,261"
414,Total Operating Expenses,,"$147,886,571","$166,926,646","$184,175,127","$185,535,330"
415,Income/(Loss) from Operations,,"-$24,072,598","-$12,326,379","$3,197,540","$7,879,931"
416,Non Operating Revenue,,"$17,838,087","$20,221,221","$5,953,954","$2,919,830"
417,Excess/(Deficiency) of Revenue over Expenses,,"-$6,234,511","$7,894,842","$9,151,494","$10,799,761"
418,*Source: Hospital Audited Financial Statements,,,,,
420,KEY RESULTS - CONNECTICUT CHILDREN’S MEDICAL CENTER,,,,,
422,PROFITABILITY SUMMARY,2006,2007,2008,2009,
423,Hospital Operating Margins,-16.99%,-7.05%,1.65%,4.01%,
424,Hospital Non Operating Margins,12.59%,11.57%,3.08%,1.49%,
425,Hospital Total Margins,-4.40%,4.52%,4.73%,5.50%,
426,COST DATA SUMMARY,,,,,
427,Ratio of cost to charges,0.63,0.56,0.50,0.49,
428,Private Payment to Cost Ratio,0.84,1.01,1.10,1.16,
429,Medicare Payment to Cost Ratio,6.81,9.20,7.48,12.14,
430,Medicaid Payment to Cost Ratio,0.74,0.64,0.71,0.72,
431,LIQUIDITY MEASURES SUMMARY,,,,,
432,Current Ratio,1.02,0.75,0.88,0.93,
433,Days cash on hand,42,9,20,4,
434,Days in patients accounts receivable,37,43,39,40,
435,Average Payment Period,92,91,94,75,
436,SOLVENCY MEASURES SUMMARY,,,,,
437,Equity financing ratio,71.7,69.8,64.2,58.9,
438,Cash flow to total debt ratio,-0.2,18.4,19.9,27.2,
439,Long-term debt to Capitalization Ratio,16.4,16.5,18.3,20.1,
440,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
441,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
442,NET ASSETS SUMMARY,,,,,
443,Hospital Unrestricted Net Assets,"$119,586,082","$117,939,498","$102,605,588","$69,608,421",
444,Hospital Total Net Assets,"$210,713,866","$212,389,064","$187,615,037","$151,977,252",
445,UTILIZATION MEASURES SUMMARY,,,,,
446,Patient Days,"31,018","32,933","37,137","35,911",
447,Discharges,"5,638","5,534","5,806","6,359",
448,ALOS,5.5,6.0,6.4,5.6,
449,Staffed Beds,122,123,126,142,
450,Available Beds,122,124,126,142,
451,Licensed Beds,135,135,135,147,
452,Occupancy of staffed beds,70%,73%,81%,69%,
453,Occupancy of available beds,70%,73%,81%,69%,
454,Full Time Equivalent Employees,970.0,"1,093.5","1,189.5","1,195.2",
455,29,,,,,
456,KEY RESULTS - CONNECTICUT CHILDREN’S MEDICAL CENTER,,,,,
458,DISCHARGES,2006,2007,2008,2009,
459,Non-Government (Including Uninsured),"3,116","2,894","3,093","3,065",
460,Medicare,47,13,10,8,
461,Medical Assistance,"2,444","2,589","2,676","3,255",
462,Medicaid,"2,444","2,589","2,676","3,255",
463,Other Medical Assistance,0,0,0,0,
464,Champus / TRICARE,31,38,27,31,
465,Uninsured (Included in Non-Government),55,37,38,51,
466,Total Discharges,"5,638","5,534","5,806","6,359",
467,CASE MIX INDEX,,,,,
468,Non-Government (Including Uninsured),1.329,1.4243,1.5535,1.4488,
469,Medicare,0.8686,2.0442,2.223,2.1772,
470,Medical Assistance,1.2759,1.3335,1.4821,1.3611,
471,Medicaid,1.2759,1.3335,1.4821,1.3611,
472,Other Medical Assistance,,,,,
473,Champus / TRICARE,1.5027,1.19,1.4065,0.9455,
474,Uninsured (Included in Non-Government),1.3232,1.0818,0.9836,1.1555,
475,Total Case Mix Index,1.3031,1.3817,1.5211,1.4024,
476,UNCOMPENSATED CARE,,,,,
477,Charity Care,"$609,964","$294,708","$514,817","$442,542",
478,Bad Debts,"$3,035,830","$3,476,113","$4,145,704","$3,808,276",
479,Total Uncompensated Care Charges,"$3,645,794","$3,770,821","$4,660,521","$4,250,818",
480,Uncompensated Care Cost,"$2,312,466","$2,100,336","$2,346,998","$2,098,176",
481,Uncompensated care % of total expenses,1.7%,1.3%,1.3%,1.1%,
482,EMERGENCY DEPARTMENT VISITS,,,,,
483,Emergency Room - Treated and Admitted,"3,652","2,849","3,037","2,838",
484,Emergency Room - Treated and Discharged,"36,485","40,323","43,517","47,262",
485,Total Emergency Room Visits,"40,137","43,172","46,554","50,100",
487,30,,,,,
489,DANBURY HOSPITAL,,,,,
491,"Danbury Hospital, founded in 1885, is located in Danbury.  In FY 2009, the Hospital generated",,,,,
492,"$24.8 million in income from operations and had a $13.7 million non-operating gain, resulting in",,,,,
493,"an excess of revenues over expenses of $38.5 million.  The Hospital reported 20,497 discharges",,,,,
494,"and 91,794 patient days while staffing 271 of its 351 available beds.  Reported below is a chart",,,,,
495,"indicating all of the affiliates of Danbury Health Systems, Incorporated, the parent corporation of",,,,,
496,"the Hospital, followed by various financial indicators and selected utilization measures.",,,,,
498,Danbury Health,,,,,
499,"Systems, Inc.",,,,,
501,Ridgefield Surgical,,,,,
502,"Center, LLC",,,,,
504,Danbury,Danbury Hospital,Danbury Health,Business,,
505,Hospital,Development,"Care Affiliates, Inc.","Systems, Inc",,
507,Danbury Health,,Danbury Visiting,Regional Hospice of,,
508,Systems Insurance,,,,,
510,Co. Ltd.,,,,,
512,Hospital Gross Revenue Payer Mix,,,Hospital Net Revenue Payer Mix,,
513,Medicaid,,,Medicaid,,
514,8%,Uninsured,,,,
517,Medical,,,,,
518,1%,,,,,
519,Assistance,,,,,
520,Non-,,,,,
521,2%,,,,,
522,Government,,,,,
527,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,2009,
528,Net Patient Revenue,"$378,987,862","$393,491,107","$427,936,480","$457,712,742",
529,Other Operating Revenue,"$6,110,934","$9,051,658","$10,028,673","$9,727,398",
530,Total Operating Revenue,"$385,098,796","$402,542,765","$437,965,153","$467,440,140",
531,Total Operating Expenses,"$363,887,584","$378,387,622","$415,921,169","$442,588,744",
532,Income/(Loss) from Operations,"$21,211,212","$24,155,143","$22,043,984","$24,851,396",
533,Non Operating Revenue,"$10,612,293","$27,798,903","-$29,322,315","$13,663,243",
534,Excess/(Deficiency) of Revenue over Expenses,"$31,823,505","$51,954,046","-$7,278,331","$38,514,639",
535,31,*Source: Hospital Audited Financial Statements,,,,
537,KEY RESULTS - DANBURY HOSPITAL,,,,,
539,PROFITABILITY SUMMARY,2006,2007,2008,2009,
540,Hospital Operating Margins,5.36%,5.61%,5.39%,5.17%,
541,Hospital Non Operating Margins,2.68%,6.46%,-7.18%,2.84%,
542,Hospital Total Margins,8.04%,12.07%,-1.78%,8.01%,
543,COST DATA SUMMARY,,,,,
544,Ratio of cost to charges,0.44,0.43,0.42,0.44,
545,Private Payment to Cost Ratio,1.41,1.47,1.44,1.36,
546,Medicare Payment to Cost Ratio,0.87,0.84,0.86,0.79,
547,Medicaid Payment to Cost Ratio,0.66,0.71,0.80,0.64,
548,LIQUIDITY MEASURES SUMMARY,,,,,
549,Current Ratio,6.36,6.13,5.57,4.87,
550,Days cash on hand,154,168,132,160,
551,Days in patients accounts receivable,40,39,38,26,
552,Average Payment Period,40,38,37,43,
553,SOLVENCY MEASURES SUMMARY,,,,,
554,Equity financing ratio,62.0,68.8,68.5,68.0,
555,Cash flow to total debt ratio,31.6,46.1,8.3,37.5,
556,Long-term debt to Capitalization Ratio,27.5,23.7,23.7,23.2,
557,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
558,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
559,NET ASSETS SUMMARY,,,,,
560,Hospital Unrestricted Net Assets,"$291,694,304","$355,513,444","$348,481,186","$325,008,268",
561,Hospital Total Net Assets,"$319,017,393","$382,105,019","$376,402,186","$380,666,988",
562,UTILIZATION MEASURES SUMMARY,,,,,
563,Patient Days,"85,217","88,139","87,644","91,794",
564,Discharges,"20,438","20,752","20,459","20,497",
565,ALOS,4.2,4.2,4.3,4.5,
566,Staffed Beds,251,246,248,271,
567,Available Beds,342,339,347,351,
568,Licensed Beds,371,371,371,371,
569,Occupancy of staffed beds,93%,98%,97%,93%,
570,Occupancy of available beds,71%,71%,69%,72%,
571,Full Time Equivalent Employees,"2,309.0","2,345.9","2,448.1","2,448.0",32
573,KEY RESULTS - DANBURY HOSPITAL,,,,,
575,DISCHARGES,2006,2007,2008,2009,
576,Non-Government (Including Uninsured),"9,798","9,712","9,311","9,049",
577,Medicare,"8,288","8,306","8,382","8,566",
578,Medical Assistance,"2,332","2,720","2,752","2,857",
579,Medicaid,"1,863","2,232","2,270","2,312",
580,Other Medical Assistance,469,488,482,545,
581,Champus / TRICARE,20,14,14,25,
582,Uninsured (Included in Non-Government),458,421,345,322,
